One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ह मेरे को हेयर स्टायइल एकदम खुले बालू वाली हेयर स्टायइल चाहिए जिसमें लुक एकदम अच्छे से है",मेरे को हेयर स्टाइल एकदम खुले बालों वाली हेयर स्टाइल चाहिए जिसमें लुक एकदम अच्छे से आए,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने जो मुझे दिख रही है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और उसमें इतनी ज़्यादा ठंड भी से भी हम नहीं बच पाते थे दकानदार ने बोला था कि इसमें ठंड भी नहीं लगेगी तो वो जैकेट का अनुभव मेरे लिए बहुत बुरा लड़हा और आठ हज़ार रुपएे भी हमारे लिए पूरे वसूल नहीं हो पाए मुझे वो जैकेट अब",और उसमें इतनी ज़्यादा ठंड भी से भी हम नहीं बच पाते थे दुकानदार ने बोला था कि इसमें ठंड भी नहीं लगेगी तो वह जैकेट का अनुभव मेरे लिए बहुत बुरा रह लरा और आठ हज़ार रुपये भी हमारे लिए पूरे वसूल नहीं हो पाए मुझे वह जैकेट अब,तो ये,तो ये,तो ये
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और बहुत ही कम समय में सबसे ज़्यादा मछली पकड़ लेते हैं य इस तरह की काफ़ी",और बहुत ही कम समय में सब से ज़्यादा मछली पकड़ लेते हैं इस तरह की काफ़ी,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े-बड़े पेड़ पड़े हैं।
,,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हिंदी भाषा जो है हमारे भारत और विश्व में सबसे ज़्यादा बोली जाने वाली भाषा में से एक है हमारी राष्ट्र भाषा है",हिन्दी भाषा जो है हमारे भारत और विश्व में सबसे ज़्यादा बोली जाने वाली भाषा में से एक है हमारी राष्ट्र भाषा है,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीले फूल देगी
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
प्रिवेेश द्वारा भुगतान भी किया जाता है जैसे हमारे बगीचे हैं होम थिएटर हैं उनम मैदानों में खेल मैदानों में हमको परिवेेश द्वारों द्वारा भुगतान भी करना पड़ता है और कई ऐसे स्थल भी हैं जहाँ पर हमको मुफ्त में भी",प्रवेश द्वारा भुगतान भी किया जाता है जैसे हमारे बगीचे हैं होम थिएटर हैं उनमें मैदानों में खेल मैदानों में हमको प्रवेश द्वारों द्वारा भुगतान भी करना पड़ता है और कई ऐसे स्थल भी हैं जहाँ पर हमको मुफ्त में भी,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली यह साइज काफी अच्छा लगता है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी मैम आपको किस तरह का विज्ञापन करना है",जी मैम आपको किस तरह का विज्ञापन करना है,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,"ये मैं पेंट जो मेरे छत का पेंट का कलर में चुनती हूँ, वो कराती रहती हूँ। पहले ये पैरेट ग्रीन थे, अभी हो गए हैं। और उससे क्या होता है?"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी",जी,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ मैंने मीटिंग में शामिल होने के लिए दूर दराज से वीडियो कॉन्फ़्रेंसिंग में जुड़ने के लिए",हाँ मैंने मीटिंग में शामिल होने के लिए दूर दराज से वीडियो कॉन्फ़्रेंसिंग में जुड़ने के लिए,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पर जाकर काम करें। उस वक्त एक टाटा चाय की दुकान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी से बोले कि मुझे खेती करनी है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उस वक््त हमने बैठ के पुराने समय की बहुत सारी बातें करी स्कूल की बातें करी मेरे अन्य मित्रों की बातें करी गुरुजनों की बातें करी",उस वक्त हमने बैठकर पुराने समय की बहुत सारी बातें करी स्कूल की बातें करी मेरे अन्य मित्रों की बातें करी गुरुजनों की बातें करी,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिताजी को
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे पाँच तारीख याद हैं दो जनवरी दो हजार आठ सोलह मार्च दो हजार सोलह दस सितम्बर दो हजार नौ बाईस अक्टूबर दो हजार तीन ग्यारह जून दो हजार",मुझे पाँच तारीख याद हैं दो जनवरी दो हजार आठ सोलह मार्च दो हजार सोलह दस सितंबर दो हजार नौ बाइस अक्टूबर दो हजार तीन ग्यारह जून दो हजार,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और ये सिर्फ माइक्रो इरिगेशन की बदौलत था,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और यह सिर्फ माइक्रो इरीगेशन के बदौलत था,"जिस लीची के बाग को हम छह लाख से सात लाख में बेचते थे, उसको एक समय ऐसा आया जब बत्तीस लाख तक हमने पहुंचा दिया और यह सिर्फ माइक्रो इरिगेशन की बदौलत था।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पंद्रह अगस्त उन्नीस सौ सैंतालीस छब्बीस जनवरी उन्नीस सौ पचास तेईस ओक्टोबर उन्नीस सौ अ्ठानवे",पंद्रह अगस्त उन्नीस सौ सैंतालिस छब्बीस जनवरी उन्नीस सौ पच्चास तेईस ओक्टूबर उन्नीस सौ अट्ठानवे,डिपेंडिंग अपान डिस्टेंस पाइप का डायोमीटर चेंज है,डिपेंडिंग उपों डिस्टेंस पाइप का डायमीटर चेंज,डिपेंडिंग अपॉन डिस्टेंस पाइप का डायमीटर चेंज है
