One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैं जब भी लंबी बाइकिंग ट्रिप या किसी टूर के लिए बाहर जाती हूँ तो मैं अपने आप को तैयार करने के लिए पहले य सारी चीज़ें",मैं जब भी लंबी बाइकिंग ट्रिप या किसी टूर के लिए बाहर जाती हूँ तो मैं अपने आप को तैयार करने के लिए पहले सारी चीज़ों,मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,मात्र पचास हजार रुपए में शोरूम से घर लाइए एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रुपये में शुरू से घर लाई एक सौ चालीस किलोमीटर की रेंज वाली यह इलेक्ट्रिक स्कूटर के फीचर्स
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैंने उसको वहाँ से निकाला और उसको बाद में समझाया कि इस तरीके से हम कठिन परिस्थितियों का सामना नहीं कर पाते हमें पहले",मैंने उसको वहाँ से निकाला और उसको बाद में समझाया कि इस तरीके से हम कठिन परिस्थितियों का सामना नहीं कर पाते हमें पहले,इसी स्कूटो को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी भैया पंद्रह दस रुपएे भैया य तो कुुछत ज़्यादा महंगा हो गया आप छः रुपए तक कर दीजिए",जी भैया पंद्रह दस रुपए भैया ये तो कुछ ज़्यादा महंगा हो गया आप छः रुपए तक कर दीजिए,बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,बावन हजार नौ सौ रुपए एक्स शोरूम की शुरूवाती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स-शोरूम की शुरूआती कीमत से लेकर
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मौसम में भी बदलाव होता है कभी बारिश नहीं होती तो कभी बारिश कुछ ज़्यादा हो जाती है गर्मी ज़्यादा पड़ती है",मौसम में भी बदलाव होता है कभी बारिश नहीं होती तो कभी बारिश कुछ ज़्यादा हो जाती है गर्मी ज़्यादा पड़ती है,चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपए एक्स के साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपये के साथ लॉन्च किया है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पुरा तत्व विधों में मध्य प्रदेश के कुछ हिस्सों में भित्ती चित्र मिले हैं जो बताते हैं कि मध्य प्रदेश का प्रारंभिक ऐतिहासिक व्यक्ति भी कला और अवकाश की गतिविधियों में लगा हुआ था",पुरातत्व विदों में मध्य प्रदेश के कुछ हिस्सों में भित्ति चित्र मिले हैं जो बताते हैं कि मध्य प्रदेश का प्रारम्भिक ऐतिहासिक व्यक्ति भी कला और अवकाश की गतिविधियों में लगा हुआ था,खरीद सकते हैं,खरीद सकते हैं,खरीद सकते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ग्रुप बना कर के रखा है कि अगर से कभी भी किसी भीकार की ऐसी हानि आ जाती है दुर्घटना हो जाती है घटना घट जा या फिर किसी भी किसान भाई को किसी भी प्रकार हार की दिक्कतें आती",ग्रुप बना कर के रखा है कि अगर से कभी भी किसी भी कार की ऐसी हानि आ जाती है दुर्घटना हो जाती है घटना घट जा ती या फिर किसी भी किसान भाई को किसी भी प्रकार की दिक्कतें आती,मोटर से लेस किया गया है,मोटर से लेस किया गया है,मोटर से लैस किया गया है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मतलब इस समय में आप हम सबक पेंटिंग करना है उस व वक़््त में हमारी जो शिक्षक और शिक्षयत्री होते हैं वो सब आते हैं और हमें बहुत कुछ पेंटिंग के बारे में सिखाते हैं",मतलब इस समय में आप हम सब को पेंटिंग करना है उस वो वक़्त में हमारे जो शिक्षक और सिख्‍यात्री होते है वो सब आते हैं और हमें बहुत कुछ पेंटिंग के बारे में सिखाते हैं,बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती हैं,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे प्लास्टिक का हफ्ता नहीं चाहिए मुेरे कोे लोहे वाले ही चाहिए",मुझे प्लास्टिक का हत्था नहीं चाहिए मुझे यह लोहे वाला ही चाहिए,रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,रही बात रेंज को तो कंपनी के अनुसार इसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर,"रही बात रेंज की, तो कंपनी ने अनुसार ऐसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर तक की बात की है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा अच्छा अच्छा तो मतलब भोजन की और सभी प्रकार की सुविधाएं आपके यहाँ होटल में है मतलब किसी प्रकार की मुझे दिक्कत नहीं आएगी ना",अच्छा अच्छा अच्छा तो मतलब भोजन की और सभी प्रकार की सुविधाएं आपके यहाँ होटल में हैं मतलब किसी प्रकार की मुझे दिक्कत नहीं आएगी ना,तक चला सकती हैं,तक चला सकते हैं,तक चला सकती हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मेरे जीवन में सबसे गौरवपूर्ण उपलब्धि यह है कि मैंने दसवीं कक्षा में",मेरे जीवन में सबसे गौरवपूर्ण उपलब्धि यह है कि मैंने दसवीं कक्षा में,फीचर्स भी जबर्दस्त वहीं फीचर् की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीड़ों मीटर डजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,"फीचर्स भी जबर्दस्त हैं। वहीं फीचर की बात करें तो इसमें डिजिटल स्पीडोमीटर, रिमोट की, चाइल्क लॉक, आरामदायक सीट और साधन कंसोल शामिल हैं।"
