One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Four_Shot_Input,Four_Shot_Response,Five_Shot_Input,Five_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सीखा है हमारे ही पास में करौली क्षेत्र में वो रहते हैं वहाँ पे और जो वो बहुत ही अच्छा डांस सिखाते हैं तो मैंने उनसे डांस सीखा है और उन्होंने मुझे बहुत ही अच्छा सिखाया है और जो हमारी",सिखाया है हमारे ही पास में करौली क्षेत्र में वो रहते हैं वहाँ पर और जो वो बहुत ही अच्छा डांस सीखाते हैं तो मैंने उनसे डांस सीखा है और उन्होंने मुझे बहुत ही अच्छा सिखाया है और जो हमारी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और वक़्त के साथ साथ जैसे महीने वतीक होते जाए उन्हें इंजेक्शन लगवाया जाए",और वक़्त के साथ साथ जैसे महीने व्यतीत होते जाएं उन्हें इंजेक्शन लगवाया जाए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आप वैशाली नगर से आएंगे खातीपुरा चौराया आएगा चौराह से आप शनि मंदिर की तरफ आ जाएं",आप वैशाली नगर से आएँगे खातीपूरा चौराहा आएगा चौराहे से आप शनि मंदिर की तरफ आ जाएँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
भाव मिलते हैं और इसी के साथ हमें रेड फॉर्ट देखना चाहिए लाल किला देखना चाहिए क्योंकि वहाँ हमें अपने भारत के बारे में जानने का मौका मिलता है",भाव मिलते हैं और इसी के साथ हमें रेड फ़ोट देखना चाहिये लाल किला देखना चाहिये क्योंकि वहाँ हमें अपने भारत के बारे में जानने का मौका मिलता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी जस्ट कनंडीशन में आपको मैं गाड़ी दूँगा उसी कंडीशन के अंदर हमें दोवार चइए और इसमें आपको मैं आपको एक इशोरेन्स आपको दूँगा जिसके अंदर मेरी स्कूट का और आपका इन्शोरेन्स रहेगा और इसमें डॉक्यूमेंट्स मैं आपकेदार लगेंग",जी सर जिस कन्डिशन में आपको मैं गाड़ी दूंगा उसी कन्डिशन के अंदर हमें दुबारा चाहिए और इसमें आपको मैं आपको एक इन्श्योरेन्स मैं आपको दूंगा जिसके अंदर मेरी इस्कूटी का और आपका इन्श्योरेन्स रहेगा और इसमें डॉक्युमेंट्स हम में आपके आधार कार्ड लगेंगे,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने जो मुझे दिख रही है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे कुछ मज़ााय क्या फेसबुक पोस्ट दो",मुझे कुछ मज़ाकिया फेसबुक पोस्ट दो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैं पंचकुला से शिमला की ओर गया जब शिमला में मोटरसाइकिल से जा रहा था तो वहाँ ऊँचे ऊँचे",मैं पंचकुला से शिमला की ओर गया जब शिमला में मोटरसाइकिल से जा रहा था तो वहाँ ऊँचे ऊँचे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो वो मैंने देखा है कि जहाँ तक है सोयाबीन होती है मध्य प्रदेश में सोयाबीन की सफर फसल होती है जो खरीफ मौसम में हमारे प्रदेश में सबसे ज़्यादा बोई जाने वाली फसल है जो लगभग",तो वो मैंने देखा है कि जहाँ तक है सोयाबीन होती है मध्‍य प्रदेश में सोयाबीन की सफल फसल होती है जो खरीफ मौसम में हमारे प्रदेश में सबसे ज़्यादा बोई जाने वाली फसल है जो लगभग,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे गाँव के विधायक बहुत ही अच्छे काम करते हैं और बहुत ही अच्छे हैं और वहाँ के सभी जनते के बादत सुनते हैं और यहाँ के जनते बहुत उनको मतलब सपोर्ट करते हैं",हमारे गाँव के विधायक बहुत ही अच्छे काम करते हैं और बहुत ही अच्छे हैं और वहाँ के सभी जनते के बात सुनते हैं और यहाँ के जानते बहुत उनका मतलब सपोर्ट करते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो सर",तो सर,तो ये,तो ये,तो ये
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्या इस सप्ताह बेबी फूड आइटम्स पर कोई छूट मिलने वाली है",क्या इस सप्ताह बेबी फ़ूड आइटम्स पर कोई छूट मिलने वाली है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हम चार सौ की एक कुर्ती लाए कुर्ती नीले कलर की थी उसका कलर भी अच्छा था धोने पर गया नहीं और कुर्ती का कलर भी अच्छा था कपड़ा भी बहुत अच्छा था",हम चार सौ की एक कुर्ती लाए कुर्ती नीले कलर की थी उसका कलर भी अच्छा था धोने पर गया नहीं और कुर्ती का कलर भी अच्छा था कपड़ा भी बहुत अच्छा था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा अच्छा",अच्छा अच्छा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैंने अभी कुछ दिन पहले पाँच चेयर का एक सेट खरीदा था जो मतलब मैंने ना ऐसे ही नॉर्मली कोई बेचने वाले आते हैं उनसे खरीदा था",मैंने अभी कुछ दिन पहले पाँच चेयर का एक सेट खरीदा था जो मतलब मैंने ना ऐसे ही नॉर्मली कोई बेचने वाले आते हैं उनसे खरीदा था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ मैं ज़्यादा जानवर इसलिए नहीं पाल पाती क्योंकि मुझे अपने घर में जू नहीं ही खोलना है",हाँ मैं ज़्यादा जानवर इसलिए नहीं पाल पाती क्योंकि मुझे अपने घर में जू नहीं खोलना है,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हुए हैं।
,,,,,,,,,,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और हमारे ज़िले की जो नगर पालिका है वह लगातार यहाँ पर हमारे शहर की जिले की सफाई भी करती रहती है",और हमारे जिले के जो नगर पालिका है वह लगातार यहाँ पे हमारे शहर की जिले की सफाई भी करती रहती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बिल्कुल निशंकच होकर रखे और ये अलग अलग",बिल्कुल निःसंकोच होकर रखे और ये अलग अलग,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तीस हज़ार की तीस हज़ार",तीस हज़ार जी तीस हज़ार,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मेरी रसोई में तवा है जिससे मैं रोटी सेकने का काम करती हूँ या कुछ अन्य जैसे चीला बनाना है तो मैं उसके लिए उसका उपयोग करती हूँ",मेरी रसोई में तावा है जिससे मैं रोटी सेकने का काम करती हूँ या कुछ अन्य जैसे चीला बनाना है तो मैं उसके लिए उसका उपयोग करती हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पुराने गाने",पुराने गाने,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
फिर और कोई इसमें एक्स्ट्रा थोड़ी है जैसे की कोई दिक्कत तो नहीं होगी",फिर और कोई इस में एक्स्ट्रा थोड़ी है जैसे कि कोई दिक्कत तो नहीं होगी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ",हाँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आप एक बार लेकर देखिए यूज़ करके देखिए",आप एक बार लेकर देखिए यूज़ करके देखिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आपके पास जो कुछ है उसके लिए आभारी रहें और मज़े करना सुनिश्चित करें",आपके पास जो कुछ है उसके लिए आभारी रहें और मज़े करना सुनिश्चित करें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उनमें बहुत सुधर आती है जैसे कि हमारे लोग मतलब बहुत सारे लोग हमारे कपड़े की व्यवसाय करते थे",उनमें बहुत सुधर आती है जैसे कि हमारे लोग मतलब बहुत सारे लोग हमारे कपड़े की व्यवसाय करते हैं,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये व्यक्तिगत रूप से ये साइज काफी अच्छा लगता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नौ नवम्बर दो हज़ार सत्रह सितम्बर उन्नीस सौ नब्बे सात मार्च दो हज़ार पाँच अ्ठारह फरवरी दो हज़ार उन्नीस छब्बीस जनवरी दो हज़ार आठ",नौ नवम्बर दो हज़ार सत्रह सितम्बर उन्नीस सौ नब्बे सात मार्च दो हज़ार पाँच अठारह फरवरी दो हज़ार उन्नीस छब्बीस जनवरी दो हज़ार आठ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो आप जो लगाती होंगी ना जो आपकेऊ प सूट करता होगा वो बताइए वरना मैं अपने से जो मुझे अच्छा लगेगा वो मैं लगा दूँगीी",तो आप जो लगाती होंगी ना जो आपके ऊपर सूट करता होगा वो बताइए वरना मैं अपने से जो मुझे अच्छा लगेगा वो मैं लगा दूँगी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आना असंभव है गाँव में लोग ज़्यादातर पानी और गोबर का छिड़काव इसलिए करते हैं क्योंकि कोई भी बुरा आदमी बुरी नज़र से उनके घर में आए तो उनको कोई भी नुकसान नहीं होता कैसी भी नजर से आए कैसा भी बुरा आदमी आए लेकिन उनके ऊपर कोई भी",आना असंभव है गाँव में लोग ज़्यादातर पानी और गोबर का छिड़काव इसलिए करते हैं क्योंकि कोई भी बुरा आदमी बुरी नजर से उनके घर में आए तो उनको कोई भी नुकसान नहीं होता कैसी भी नजर से आए कैसा ही बुरा आदमी आए लेकिन उनकी ऊपर कोई भी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे यहाँ बसे ट्रेन",हमारे यहाँ बसे ट्रेन,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्योंकि चित्रकारी के लिए आपको समय निर्धारित होता है कि इस समय के अंदर आपको अपना कार्य पूरा करना होता है कभी कभी कार्य पूरा नहीं होता है कभी हो जाता है कभी कुछ गड़बड़ी हो जाती है",क्योंकि चित्रकारी के लिए आप को समय निर्धारित होता है कि इस समय के अंदर आप को अपना कार्य पूरा करना होता है कभी कभी कार्य पूरा नहीं होता है कभी हो जाता है कभी कुछ गड़बड़ हो जाती है,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,ये मैं पेंट जो मेरे छत के पेंट का कलर मैं चूज करती हूँ वो कराती रहती हूँ पहले ये पैरेट ग्रीन थे अभी हो गए हैं और उससे क्या होता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा",अच्‍छा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
टोकन युक्त भुगतानों के लिए मेरा यूनियन बैंक ऑफ़ इंडिया वीज़ा कार्ड पंजीकत करने के लिए क्यू आर कोड को स्कैन करें",टोकन युक्त भुगतानों के लिए मेरा यूनियन बैंक ऑफ़ इंडिया वीज़ा कार्ड पंजीकृत करने के लिए क्यू आर कोड को स्कैन करें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
छानते हैं ओ नहीं बन पाई मैंने जल्दी से मेरे माँ को फोन किया कि आओ ऐसे बना कैसे बना य तो नहीं तो खराब हो जाएगा",छानते है ओ नही बन पाई मैंने जल्दी से मेरे माँ को फोन किया कि आओ इसे बना कैसे बनाये ये तो नहीं तो खराब हो जाएगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यह जॉब करना ज़रूरी था इसलिए मुझे सबसे बड़ी मेरी उपलब्धि यही थी कि मैंने बहुत मेहनत करके एक सरकारी नौकरी प्राप्त कर ली है इसलिए मैं मुझे इस पर",यह जॉब करना ज़रूरी था इसलिए मुझे सबसे बड़ी मेरी उपलब्धि यही थी कि मैंने बहुत मेहनत करके एक सरकारी नौकरी प्राप्त कर ली है इसलिए मैं मुझे इस पर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सामान वगैरह अपना जो डेली यूज़ का है वही मिलेगा और एक्स्ट्रा है वो आपको लाना पड़ेगा",सामान वगैरह अपना जो डेली यूज का है वही मिलेगा और एक्स्ट्रा है वो आपको लाना पड़ेगा,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आगे",आगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा तो इसका जो गाड़ी का जो किराया रहेगा पूरे महीने का वो कितना रहेगा",अच्छा तो इसका जो गाड़ी का जो किराया रहेगा पूरे महीने का वो कितना रहेगा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और गरीबी के गरीबों के लिए कई योजनाएं कर रही हैं उन्हें आवास योजना भी दे रही है",और गरीबी के गरीबों के लिए कई योजनाएं कर रही है उन्हें आवास योजना भी दे रही है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो उन्हें तो ऐसी मतलब ये है कि हम आगे जाके दोन ही रहना चाहते परिवार से परिवार से जुड़े रहना चाहते",तो उन्‍हें तो ऐसे ही है मतलब ये है कि हम आगे जा के दूर नहीं रहना चाहते परिवार से परिवार से जुड़े रहेना चाहते हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ह न बेल तो कट दूगा कााम को",हाँ नौ बजे तक कर दूँगा शाम को,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,"तो बचपन से ही मेरी इच्छा थी कि हम घर पर जाकर काम करें। तो उस वक्त टाटा चाय की बगान मुनार में नौकरी भी लगी, लेकिन मेरा दिल था गांव में। और जब हम गांव पहुंचे और पिताजी से बोले कि मुझे खेती करना है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कृष्ण जन्माष्टमी में जैसे कि कृष्ण का जन्म कैसे हुआ था",कृष्ण जन्माष्टमी में जैसे कि कृष्ण का जन्म कैसे हुआ था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा अच्छा",अच्छा अच्छा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ और जो भी कुछ होगा ना उसके पहले व मैं बता दूँंग आपको",हाँ हाँ और जो भी कुछ होगा उसके पहले मैं बता दूंगा आपको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
गणतत्र दिवस",गणतंत्र दिवस,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
एक रात में डेली प्रिंट होते हैं और वो बटते हैं लोगों तक तो",एक रात में डेली प्रिंट होते हैं और वो बटते हैं लोगों तक तो,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
