One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
एक महत्वपूर्ण सांस्कृतिक ऐतिहासिक शहर जोधपुर भारतीय उप महाद्वीपों में एक जरूरी जगह है चौदा पर्यटन स्थलों और जोधपुर में करने के लिए चीज़ें मुख्य है मेहरानगढ़ का किला है",एक महत्वपूर्ण संस्कृति के ऐतिहासिक शहर जोधपुर भारतीय उपमहाद्वीप में एक ज़रूरी जगह है चौदह पर्यटन स्थलों और जोधपुर में करने के लिए चीज़ें मुख्य है मेहरांगढ़ का क़िला है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी जी",जी जी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सिंचाई उपलब्ध करा रहे हैं तो अलग अलग तरीकों से भारत में सिंचाई की व्यवस्था है",सिंचाई उपलब्ध करा रहे हैं तो अलग अलग तरीकों से भारत में सिंचाई की व्यवस्था है,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने मुझे दिख रही है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो बहुत सारे ऐसे त्योहार हैं जो मनाए जाते हैं और यह सभी त्योहार मैं भी मनाती हूँ",तो बहुत सारे ऐसे त्यौहार हैं जो मनाए जाते हैं और यह सभी त्यौहार मैं भी मनाती हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उसमें भी जो भी नियम बनाए गए हैं वो मुझे सब अच्छे लगते हैं इसलिए मैंने कभी ऐसा नहीं सोचा कि उन नियमों को बदला जाए या क्रिकेट को और मॉडिफाई किया जाए",उस में भी जो भी नियम बनाए गए हैं वो मुझे सब अच्छे लगते हैं इसलिए मैंने कभी ऐसा नहीं सोचा कि उन नियमों को बदला जाए या क्रिकेट को और मॉडिफ़ाई किया जाए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा कान में दर्द हो रहा है आपके क्या हुआ कान दिखो इधर घूम कर",अच्छा कान में दर्द हो रहा है आप के क्या हुआ कान दिखाओ इधर घूम कर,तो ये,तो ये,तो ये
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ तो इसमें ट्यूब वोे लड़का बता रहा स इसमें ट्यूब नहीं है ना ये बगर ट्यूबलेस कलाती है अभी सब ऐसी च आ रही है अब तुमको ट्यूब वाली लेना है तो वो भी है तो ये तो तुमने जो पसंद की है वो ट्यूब वाली ट्यूबलेस है तो देख लो सौ पचास कम कर देना और वो पिंजरा कितने का र भओ पिंजरे का बता देें",हाँ तो उसमे ट्यूब ये वो ये लड़का बता रहा इसमें ट्यूब नहीं है ना यह वगैर ट्यूबलेस कहलाती है अभी सब ऐसीच आ रही है अब तुमको ट्यूब वाली लेना है तो वो भी है तो ये तो तुमने जो पसंद कि है वो ट्यूब वाली ट्यूबलेस है तो देख लो सौ पचास कम कर देना और वह पिंजरा कितने का है रे भाऊ वो पिंजरे का बता दे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्या आप आवेदन आई डी एक्स बाई दो शून्य एक नौ दो नौ आठ शून्य चार दो एक शून्य दो तीन एक एक पाँच एक और जन्मतििथि दो आठ दो हज़ार बाईस के साथ",क्या आप आवेदन आई डी एक्स वाई दो शून्य एक नौ दो नौ आठ शून्य चार दो एक शून्य दो तीन एक एक पाँच एक और जन्म तिथि दो आठ दो हज़ार बाईस के साथ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो आपके ऊपर में है कि आप कितना काम कर सकते हो क्या दे सकते हो कंपनी को जैसे छोला मंगलम के लिए है हमारे पास में",तो आपके ऊपर में है कि आप कितना काम कर सकते हो क्या दे सकते हो कंपनी को जैसे छोला मंगलम के लिए है हमारे पास में,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हैं।
,,,,,,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मोटर लगवानी है जिससे वोह जल्दी जल्दी चले और उससे मेरा काम फास्ट हो जाए थोड़ा जल्दी जल्दी हो जाए",मोटर लगवानी है जिससे वो जल्दी जल्दी चले और उससे मेरा काम फास्ट हो जाए थोड़ा जल्दी जल्दी हो जाए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
है",है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
एक जनवरी उन्नीस सौ नब्बे दो फरवरी उन्नीस सौ पिचानवे तीन मार्च दो हजार चार अप्रैल दो हजार पाँच पाँच मई दो हज़ार दस",एक जनवरी उन्नीस सौ नब्बे दो फरवरी उन्नीस सौ पिच्चानवे तीन मार्च दो हजार चार अप्रैल दो हजार पाँच पाँच मई दो हजार दस,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उन्हें शक्ति कर्म सौदागरा जैसी प्रमुख फ़िल्मों प्रखम भूमिका निभानी जारी रखा",उन्हें शक्ति कर्म सौदागरा जैसी प्रमुख फ़िल्मों प्रखम भूमिका निभानी जारी रखा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
भविष्य नहीं रखा है इनका मानना था कि इनके पुत्र महेंद्र सिंह धोनी एक सरकारी नौकरी में जाए लेकिन महेंद्र सिंह धोनी का बचपन से ही क्रिकेट में बहुत रुचि था लेकिन",भविष्य नहीं रखा है इनका मानना था कि इनके पुत्र महेंद्र सिंह धोनी एक सरकारी नौकरी में जाएं लेकिन महेंद्र सिंह धोनी का बचपन से ही क्रिकेट में बहुत रूचि था लेकिन,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा क्या आप कैश ऑन डिलीवरी कैश ऑन डिलीवरी की सुविधा आपके पास उपलब्ध है",अच्छा क्या आप कैश ऑन डिलीवरी कैश ऑन डिलीवरी की सुविधा आपके पास उपलब्ध है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये व्यक्तिगत रूप से ये साइज काफी अच्छा लगता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ सर है ना सर सब प्रकार की वैरायटीज़ मिलती है हमारे यहाँ प हमारे यहाँ से बाहर आते हैं सब फूल वगैरह सब फ्लावर्स वगैरह हम मतलब यहाँ से सब प्रकार के मिलते हैं इधर",हाँ सर है ना सर सब प्रकार की वराइइटीस मिलती है हमारे यहाँ पे हमारे यहाँ से बाहर से आते हैं सब फूल वग़ैरह सब फ्लावर्स वग़ैरह हम मतलब यहाँ से सब प्रकार के मिलते हैं इधर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैंने अपने घर में एक लकड़ी का सोफ़ा बनवाया था बहुत ही ज़्यादा मन से लगाव से",मैंने अपने घर में एक लकड़ी का सोफ़ा बनवाया था बोहोंत ही ज़्यादा मन से लगाव से,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ",हाँ,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,"ये मैं पेंट जो मेरे छत का पेंट का कलर में चुनती हूँ, वो कराती रहती हूँ। पहले ये पैरेट ग्रीन थे, अभी हो गए हैं। और उससे क्या होता है?"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नृत्यों की प्रसूतियाँ होती हैं और",नृत्‍यों की प्रसुतियाँ होती हैं और,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मेरा पसंदीदा खेल क्रिकेट है मुझे क्रिकेट खेलना बहुत पसंद है और ये आउटडोर एक्टिविटी है जिसका आनंद मैं लेती हूँ",मेरा पसंदीदा खेल क्रिकेट है मुझे क्रिकेट खेलने बहुत पसंद है और ये आउटडोर एक्टिविटी हैं जिसका आनंद मैं लेती हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सिर दर्द में आराम मिलता है और सिर में बाम या विक्स लगाने से भी आराम मिल जाता है",सिरदर्द में आराम मिलता है और सिर में बाम या विक्स लगाने से भी आराम मिल जाता है,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक एप की जानकारी देना चाहते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ हाँ",हाँ हाँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी मेरे को अभी न कुछ मिठाइयाँ मंगानी थी तो मैं यह पूछना चाहती हूँ क्या मेरे पास कभी ऐसा कोई कूपन है",जी मेरे को अभी ना कुछ मिठाइयाँ मंगानी थी तो मैं यह पूछना चाहती हूँ क्या मेरे पास कभी ऐसा कोई कूपन है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उनके स्वास्थ्य पर भी काफ़ी बुरा प्रभाव पड़ता है इसलिए मैं उनसे शिक्षा देना चाहूगा आज कल के बच्चों को कि स्क्रीन टाइम स्क्रीन गेम को कम करके उनको और जो प्राकृतिक हमारे खेल हैं उनको सबसे ज़्यादा खेला जाए जिससे उनका स्वास्थ्य भी अच्छा रहेगा",उनके स्वास्थ्य पर भी काफ़ी बुरा प्रभाव पड़ता है इसलिए मैं उनसे शिक्षा देना चाहूँगा आजकल के बच्चों को कि स्क्रीन टाइम स्क्रीन गेम को कम करके उनको जो प्राकृतिक हमारे खेल है उनको सबसे ज़्यादा खेला जाए जिससे उनका स्वास्थ्य भी अच्छा रहेगा,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पर जाकर काम करें। तो उस वक्त टाटा चाय बागान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गाँव पहुंचे और पिताजी को बोले कि मुझे खेती करना है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नई होता है ट्रेन का जो टिकट है वो भी बहुत ही एक रीजनेबल डेट में आपको मिल जाता है",नहीं होता है ट्रेन का जो टिकट है वह भी बहुत ही एक रीज़नेबल रेट में आपको मिल जाता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी",जी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो ये भैया क्यों एस्ट्रा माँंग रहे हैं एस्ट्रा तो हम नहीं दे पाएंगे आप ही इनसे ही बात करिए ये एस्ट्रा ले रहे हैं पैसे आप मने कर और य आप जानिए क्योंकि हमने दस में एक बुक की थी तो हमने दस में ही ली थी और हमने तीन दिन के लिए बुक की थी वो दो दिन में ही बोल रहे हैं",तो यह भैया की क्यों एस्ट्रा मांग रें एस्ट्रा तो हम नहीं दे पाएंगे आप ही इनसे भी बात करिए यह एस्ट्रा ले रहें पैसे आप मना करिए और यह आप जानिए क्योंकि हमने दस में एक बुक की थी तो हमने दस में ही ली थी और हमने तीन दिन के लिए बुक की थी वह दो दिन में ही बोल रहे हैं,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
