One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो वहाँ पर मैं देखता हूँ कि मेरे",तो वहाँ पर मैं देखता हूँ कि मेरे,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने जो मुझे दिख रही है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
स तो इस",सही तो इस,तो ये,तो ये,तो ये
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जहाँ पर बहुत अच्छे अच्छे प्रकार के अलग अलग प्रकार के पेड़ पौधे लगे हुए हैं और",जहाँ पर बहोत अच्छे अच्छे प्रकार के अलग अलग प्रकार के पेड़ पौधे लगे हुए हैं और,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हुए हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
की",जी,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सर्दियों के या गर्मियों के जिनमें सर्दियों में फूल आते हैं या कोई गर्मी में जिसका फूल आता है",सर्दियों के या गर्मियों के जिनमें सर्दियों में फूल आते हैं या कोई गर्मी में जिसका फूल आता है,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीले फूल देगी
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो कि मुझे बहुत ही अच्छा लगता है",जोकि मुझे बहुत ही अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली यह साइज काफी अच्छा लगता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे पेंट करना बहुत अच्छा लगता है लेकिन ऐसी बहुत सी चीज़ें हैं जिन्हें पेंट करने मुझे मुश्किल आती है या फिर मुश्किल लगता है जैसे कि वॉटर कलर वॉटर कलर में क्या होता है कि पानी के साथ खेलना होता है तो उसमें",मुझे पेंट करना बहुत अच्छा लगता है लेकिन ऐसे बहुत सी चीज़ें हैं जिन्हें पेंट करने मुझे मुश्किल आती है या फिर मुश्किल लगता है जैसे की वॉटर कलर वॉटर कलर में क्या होता है कि पानी के साथ खेलना होता है तो उसमें,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,ये मैं पेंट जो मेरे छत का पेंट का रंग चूज़ करती हूँ वो कराती रहती हूँ पहले ये पैरेट ग्रीन थे अभी हो गए हैं और उससे क्या होता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे द्वारा उपयोग करने वाले ऐप कई प्रकार हैं",हमारे द्वारा उपयोग करने वाले ऐप कई प्रकार हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
खेती हम मेरे बचपन से ही शुरू हो गया था माता पिता को और बड़े बुज़ुर्गों को काम करते हुए देखकरम मेरा कृषि के प्रति रुझान बढ़ा",खेती हम मेरे बचपन से ही शुरू हो गया था माता पिता को और बड़े बुजुर्गों को काम करते हुए देखकर मेरा कृषि के प्रति रुझान बढ़ा,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें। तो उस वक्त एक टाटा चाय बागान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ मैंने उपहार में मेरे पिता जी और मेरे दादा जी के लिए पिता दिवस पर एक कविता लिखी थी जिसका शीर्षक भी पिता के बारे में ही था",हाँ मैने उपहार में मेरे पिता जी और मेरे दादा जी के लिए पिता दिवस पर एक कविता लिखी थी जिसका शीर्षक भी पिता के बारे में ही था,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
