One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो वहाँ पर मैं देखता हूँ कि मेरे",तो वहाँ पर मैं देखता हूँ कि मेरे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हा पूर्ण रूप से मैने देखा मैंने",हाँ पूर्ण रूप से नहीं देखा मैंने,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उनको देखकर मैं उनके प्रेरणा लेकर एक तरीके से मैं किसी वस्तु को अपनी आँखों से देखकर",उनको देख कर मैं उनके प्रेरणा लेकर एक तरीके से मैं किसी वस्तु को अपनी आँखों से देख कर,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने मुझे दिख रही है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
स तो इस",सही तो इस,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो तो",हैलो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अरे तो",अरे तो,तो ये,तो ये,तो ये
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जहाँ पर बहुत अच्छे अच्छे प्रकार के अलग अलग प्रकार के पेड़ पौधे लगे हुए हैं और",जहाँ पर बहोत अच्छे अच्छे प्रकार के अलग अलग प्रकार के पेड़ पौधे लगे हुए हैं और,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और देखते हैं कि चारों तरफ़ घने जंगल हैं चारों तरफ़ पेड़ ही पेड़ खड़े हुए हैं",और देखते हैं कि चारों तरफ घने जंगल हैं चारों तरफ पेड़ ही पेड़ खड़े हुए हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पेड़",पेड़,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हुए हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
की",जी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जिसमें",जिसमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसके",किसकी,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सर्दियों के या गर्मियों के जिनमें सर्दियों में फूल आते हैं या कोई गर्मी में जिसका फूल आता है",सर्दियों के या गर्मियों के जिनमें सर्दियों में फूल आते हैं या कोई गर्मी में जिसका फूल आता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा अच्छा अच्छा बाहर से पीला होगा और अंदर",अच्छा अच्छा अच्छा बाहर से पीला होगा और अंदर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है मतलब पीला गुलाब कितना चाहिए आपको कितना के जी चाहिए पीला गुलाब",ठीक है मतलब पीला गुलाब कितना चाहिए आप को कितना के जी चाहिए पीला गुलाब,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीले फूल देगी
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो कि मुझे बहुत ही अच्छा लगता है",जोकि मुझे बहुत ही अच्छा लगता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो मुझे अच्छी लगती है",जो मुझे अच्छी लगती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो मुझे बेहद पसंद थे उसका रंग काफ़ी अच्छा था उसकी बनावट भी बहुत अच्छी थी पहनने में बहुत ही आरामदायक थे दिखने में भी बहुत अच्छे थे",जो मुझे बेहद पसंद थे उसका रंग काफ़ी अच्छा था उसकी बनावट भी बहुत अच्छी थी पहनने में बहुत आरामदायक थे दिखने मे भी बहुत अच्छे थे,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये व्यक्तिगत रूप से ये साइज काफी अच्छा लगता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे पेंट करना बहुत अच्छा लगता है लेकिन ऐसी बहुत सी चीज़ें हैं जिन्हें पेंट करने मुझे मुश्किल आती है या फिर मुश्किल लगता है जैसे कि वॉटर कलर वॉटर कलर में क्या होता है कि पानी के साथ खेलना होता है तो उसमें",मुझे पेंट करना बहुत अच्छा लगता है लेकिन ऐसे बहुत सी चीज़ें हैं जिन्हें पेंट करने मुझे मुश्किल आती है या फिर मुश्किल लगता है जैसे की वॉटर कलर वॉटर कलर में क्या होता है कि पानी के साथ खेलना होता है तो उसमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो पेंटर बन गई क्योंकि मैं अब हर तरीके का पेंट बना लेती हूँ चाहे वो लाइव स्केच करना हो या किसी रूप किसी भी चीज को बनाना हो किसी का स्केच करना हो किसी का ड्राइंग बनाना हो कलर वाला ड्राइंग बनाना हो",जब पेंटर बन गई क्योंकि मैं अब हर तरीक़े का पेंट बना लेती हूँ चाहे वो लाइव इस्केच करना हो या किसी रूप किसी भी चीज़ को बनाना हो किसी का इस्केच करना हो किसी का ड्राॅइंग बनाना हो कलर वाला ड्राॅइंग बनाना हो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैंने पोटाई करने के लिए पेंट लिया मैंने",मैंने पोताई करने के लिए पेंट लिया मैंने,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,ये मैं पेंट जो मेरे छत का पेंट का कलर में चुनती हूँ वो कराती रहती हूँ पहले ये पैरेट ग्रीन थे अभी हो गए और उससे क्या होता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे द्वारा उपयोग करने वाले ऐप कई प्रकार हैं",हमारे द्वारा उपयोग करने वाले ऐप कई प्रकार हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हाँ मैं आपको बताना चाहूगीी कि आजकल सबसे ज़्यादा इस्तेमाल होने वाले जो ऐप हैं जैसे कि आजकल",जी हाँ मैं आपको बताना चाहूँगी कि आजकल सबसे ज़्यादा इस्तेमाल होने वाले जो ऐप्प हैं जैसे कि आजकल,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जिसका मैं ऐप का उपयोग करके वीडियो कॉन्फ्रेंसिंग कर सक करता था",जिसका मैं एप का उपयोग कर के वीडियो कॉन्फ़्रेंसिंग कर करता था,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
खेती हम मेरे बचपन से ही शुरू हो गया था माता पिता को और बड़े बुज़ुर्गों को काम करते हुए देखकरम मेरा कृषि के प्रति रुझान बढ़ा",खेती हम मेरे बचपन से ही शुरू हो गया था माता पिता को और बड़े बुजुर्गों को काम करते हुए देखकर मेरा कृषि के प्रति रुझान बढ़ा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो कि मुझे हमारी मातृभूमि है जहाँ हमने अपने जीवन भर के पलों को संजोएे हुए रखा है उस जगह को मैं ऐसे छोड़ कर के विदेश की ओर नहीं जा सकता था एवं मैं वापस अपने उसी ग्रामीण क्षेत्र में आ गया हूँ और मैं अब वहीं रहता हूँ और अपने ग्रामीण क्षेत्र के विकास के लिए काफ़ी ज़्यादा सहयोग कर रहा हूँ",जो कि मुझे हमारी मातृभूमि है जहाँ हम ने अपने जीवन भर के पलों को संजोए हुए रखा है उस जगह को मैं ऐसे छोड़ कर के विदेश की ओर नहीं जा सकता था एवं मैं वापस अपने उसी ग्रामीण क्षेत्र में आ गया हूँ और मैं अब वहीं रहता हूँ और अपने ग्रामीण क्षेत्र के विकास के लिए काफ़ी ज़्यादा सहयोग कर रहा हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो मैं मेरे परिवार से प्रेरित होकर बागवान में करने की चुन चुनी ही",तो मैं मेरे परिवार से प्रेरित होकर बागवानी में करने की चुनी ही,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त एक टाटा चाय के बागान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ मैंने उपहार में मेरे पिता जी और मेरे दादा जी के लिए पिता दिवस पर एक कविता लिखी थी जिसका शीर्षक भी पिता के बारे में ही था",हाँ मैने उपहार में मेरे पिता जी और मेरे दादा जी के लिए पिता दिवस पर एक कविता लिखी थी जिसका शीर्षक भी पिता के बारे में ही था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मतलब पिता जी का भी दाह क्या",अरे पिताजी का भी चाहिए क्या,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मेरे माता पिता और दादा दादी",मेरे माता पिता और दादा दादी,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,"और इससे भी फल जब होते थे, तो पिताजी को"
