One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अ व आगे देखेंगे",अब आगे देखेंगे,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने मुझे दिख रही है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो वो",तो वह,तो ये,तो ये,तो यह
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
रात में करी हु",रात में क़रीब,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नहीं",नहीं,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
दो सौ रुपएे और पीला गुलाब",दो सौ रुपए और पीला गुलाब,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो मुझे अच्छी लगती है",जो मुझे अच्छी लगती है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये व्यक्तिगत रूप से ये साइज काफी अच्छा लगता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यहाँ से मैं नियमित रूप से अपने कलर्स और शिल्प से जुड़े सामान खरीदती रहती हूँ मुझे सबसे ज़्यादा फैब्रिक कलर और ऑइल पेंनट खरीदना पसंद है क्योंकि इनसे मैं",यहाँ से मैं नियमित रूप से अपने कलर्स और शिल्प से जुड़े सामान खरीदती रहती हूँ मुझे सब से ज़्यादा फैब्रिक कलर और ऑइल पेंट खरीदना पसंद है क्योंकि इन से मैं,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,"ये मैं पेंट जो मेरे छत के पेंट का कलर में चुनती हूँ, वो कराती रहती हूँ। पहले ये पैरेट ग्रीन थे, अब हो गए हैं और उससे क्या होता है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है फिर मैं आ ज हूँ आपको ऐप्लिकशन मेरी",ठीक है फिर मैं आज दूँ आपको ऐप्लिकैशन मेरी,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उन्होंने हमें बताया कैसे बागवानी करनी है कैसे पेड़ लगाने है कैसे क्या होगा तो उस टाइम परमने बागवानी शुरू की थी तो ये सब मेरी बागवानी है वो मेरे विद्यालय से आरंभ भई है वहाँ प मैंने शुरू की हमने पौधे लगाए",उन्होंने हमें बताया कैसे बाग़बानी करनी है कैसे पेड़ लगाने हैं कैसे क्या होगा तो उस टैम पर हम ने बाग़बानी शुरू की ती तो ये सब मेरी बाग़बानी है वो मेरे विद्यालय से आरम्भ हुई है वहाँ पर मैं शुरू की हम ने पौधे लगाए,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त एक टाटा चाय की बागान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी से बोले कि मुझे खेती करनी है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और जब भी उसको चलाया करता था तो एक",और जब भी उसको चलाया करता था तो एक,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
