One_Shot_Input,One_Shot_Response,Two_Shot_Input,Two_Shot_Response,Three_Shot_Input,Three_Shot_Response,Four_Shot_Input,Four_Shot_Response,Five_Shot_Input,Five_Shot_Response,Six_Shot_Input,Six_Shot_Response,Seven_Shot_Input,Seven_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अ व आगे देखेंगे",अब आगे देखेंगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और यहाँ पर",और यहाँ पर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और मुझे",और मुझे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो मुझे अच्छी लगती है",जो मुझे अच्छी लगती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है जी मैं आपको बताती हूँ",ठीक है जी मैं आपको बताती हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
देख लो मैं",देख लो मैम,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी अभी है हमारे पास",जी अभी है हमारे पास,और सामने ज मुझे दिख रही ै,और सामने जो मुझे दिख रही हैं,और सामने जो मुझे दिख रही है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो वो",तो वह,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो",तो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो तो",हैलो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो फिर",तो फिर,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यह",क्या,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो आप",तो आप,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और वो",और वह,तो ये,तो ये,तो यह
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
रात में करी हु",रात में क़रीब,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
क्या क्या रो",क्या कह रहा हूँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हैे कपड़े थे",छ कपड़े थे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
वैसे तो बहुत सारी रखी हुई है",वैसे तो बहुत सारी रखी हुई है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बहुत सारे हैं लोग",बहुत सारे हैं लोग,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जहाँ पर बहुत अच्छे अच्छे प्रकार के अलग अलग प्रकार के पेड़ पौधे लगे हुए हैं और",जहाँ पर बहोत अच्छे अच्छे प्रकार के अलग अलग प्रकार के पेड़ पौधे लगे हुए हैं और,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसमें जो है बहुत",इसमें जो है बहुत,लाइन में रो में बड़े बड़े पेड़ पड़े हू,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हुए हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नहीं",नहीं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हँ",हाँ,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
न",नहीं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ब",ये,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ना",ना,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी",जी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
व",हाँ,,इसका ये,
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
दो सौ रुपएे और पीला गुलाब",दो सौ रुपए और पीला गुलाब,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
लोगों को पीिला दिया जाता है",लोगों को पीला दिया जाता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जैसे कि सर्दियों में",जैसे कि सर्दियों में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बाहर से पीला होगा मिल जाएगा वैसा",बाहर से पीला होगा मिल जाएगा वैसा,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है दो किलो पीला गुलाब",ठीक है दो किलो पीला गुलाब,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
है ना दो किलो पीला गुलाब दे दीजिए",है ना दो किलो पीला गुलाब दे दीजिए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और सर्दियों के मौसम में जब लाइट कट जाती है",और सर्दियों के मौसम में जब लाइट कट जाती है,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीले फूल देगी
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो मुझे अच्छी लगती है",जो मुझे अच्छी लगती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जो कि मुझे बहुत ही अच्छा लगता है",जोकि मुझे बहुत ही अच्छा लगता है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सीरियल को पसंद करता हूँ इसमें",सीरियल को पसंद करता हूँ इसमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे यह गाना बहुत पसंद है",मुझे यह गाना बहुत पसंद है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सुपर बाइक जो मुझे काफ़ी अच्छी लगती है",सुपर बाइक जो मुझे काफ़ी अच्छी लगती है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
वो काफ़ी मुझे खराब लगे",वह काफ़ी मुझे ख़राब लगे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो ये मेरी पसंद है",तो यह मेरी पसंद है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,मुझे यह पर्सनली यह साइज काफी अच्छा लगता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
यहाँ से मैं नियमित रूप से अपने कलर्स और शिल्प से जुड़े सामान खरीदती रहती हूँ मुझे सबसे ज़्यादा फैब्रिक कलर और ऑइल पेंनट खरीदना पसंद है क्योंकि इनसे मैं",यहाँ से मैं नियमित रूप से अपने कलर्स और शिल्प से जुड़े सामान खरीदती रहती हूँ मुझे सब से ज़्यादा फैब्रिक कलर और ऑइल पेंट खरीदना पसंद है क्योंकि इन से मैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैंने मेरे घर के आगन में बागवानी करने के जो तरीके सोचे हैं मैंने करा भी है जैसे कि मैंने बहुत सारे",मैंने मेरे घर के आँगन में बागबानी करने के जो तरीके सोचे हैं और मैंने करा भी है जैसे कि मैंने बहुत सारे,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो इस वजह से मैं इस पेंंट से बहुत निराश हूँ और य खरीदारी मेरे लिए अच्छी नहीं रही",तो इस वजह से मैं इस पैन्ट से बहुत ही निराश हूँ और ये खरीददारी मेरे लिए अच्छी नहीं रही,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
प्राकृतिक दिश है जिसमें मैंने रंग चुने थे जो उसमें रंग भरे थे तो एकदम और इना तरीके से भर थ एक दम अच्छे से रंग भरे थे तो इसलिए जो है वो",प्राकृतिक दृश्य है जिसमें मैंने रंग चुने थे जो उसने रंग भरे थे तो एक दम ओरिजिनल तरीक़े से भरे थे एक दम अच्छे से रंग भरे थे तो इस लिए जो है वो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मेरे बगीचे में लगे फलों का इस्तेमाल मैं खाने के लिए करता हूँ जैसे कि अमरूद संंतरे और बही",मेरे बगीचे में लगे फलों का इस्तेमाल मैं खाने के लिए करता हूँ जैसे कि अमरुद संतरे और बिही,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे सबसे ज़्यादा हरी सब्ज़ियाँ बनाना पसंद है हरी सब्ज़ियाँ जैसे कि पालक",मुझे सबसे ज़्यादा हरी सब्ज़ियाँ बनाना पसंद है हरी सब्जियाँ जैसे कि पालक,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ पेंट करने के लिए मैं रंग के मध्यम रंगों का उपयोग करता हूँ",हाँ पेंट करने के लिए मैं रंग के मध्यम रंगों का उपयोग करता हूँ,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,ये मैं पेंट जो मेरे छत का पेंट का कलर में चुनती हूँ वो कराती रहती हूँ पहले ये पैरेट ग्रीन थे अब हो गए और उससे क्या होता
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है फिर मैं आ ज हूँ आपको ऐप्लिकशन मेरी",ठीक है फिर मैं आज दूँ आपको ऐप्लिकैशन मेरी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे द्वारा उपयोग करने वाले ऐप कई प्रकार हैं",हमारे द्वारा उपयोग करने वाले ऐप कई प्रकार हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जिसका मैं ऐप का उपयोग करके वीडियो कॉन्फ्रेंसिंग कर सक करता था",जिसका मैं एप का उपयोग कर के वीडियो कॉन्फ़्रेंसिंग कर करता था,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और इसके अलावा आपको कुछ अन्य जानकारी प्राप्त करना है",और इसके अलावा आपको कुछ अन्य जानकारी प्राप्त करना है,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हाँ हमारे द्वारा उपयोग किए जाने वाले ऐप्स बहुत सारे हैं",जी हाँ हमारे द्वारा उपयोग किए जाने वाले एप्स बहुत सारे हैं,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी हाँ मैं आपको बताना चाहूगीी कि आजकल सबसे ज़्यादा इस्तेमाल होने वाले जो ऐप हैं जैसे कि आजकल",जी हाँ मैं आपको बताना चाहूँगी कि आजकल सबसे ज़्यादा इस्तेमाल होने वाले जो ऐप्प हैं जैसे कि आजकल,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो मैं एक काम करता हूँ आपको",तो मैं एक काम करता हूँ आपको,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उन्होंने हमें बताया कैसे बागवानी करनी है कैसे पेड़ लगाने है कैसे क्या होगा तो उस टाइम परमने बागवानी शुरू की थी तो ये सब मेरी बागवानी है वो मेरे विद्यालय से आरंभ भई है वहाँ प मैंने शुरू की हमने पौधे लगाए",उन्होंने हमें बताया कैसे बाग़बानी करनी है कैसे पेड़ लगाने हैं कैसे क्या होगा तो उस टैम पर हम ने बाग़बानी शुरू की ती तो ये सब मेरी बाग़बानी है वो मेरे विद्यालय से आरम्भ हुई है वहाँ पर मैं शुरू की हम ने पौधे लगाए,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बचपन से ही सिखाया जाता है हर चीज़ में आगे रखा जाता है लेकिन वहीं बात अगर गाँव की हो तो वहाँ गाँव में",बचपन से ही सिखाया जाता है हर चीज़ में आगे रखा जाता है लेकिन वही बात अगर गांव की हो तो वहाँ गाँव में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बस जाते और गाँव में हम रोज़गार के लिए भी शहरों से जाना पड़ता था रोज़ इसलिए रोज़गार के लिए भी हम शहरों में सेटल हो गए गाँव में हमें एक दिन का रोज़गार मिलता है शहर में हम पर डे रोज़गार के लिए जा सकते हैं इसलिए हमें",बस जाते और गाँव में हम रोजगार के लिए भी शहरों से अ जाना पड़ता था रोज इसलिए रोजगार के लिए भी हम शहरों में सेटल हो गये गाँव में हमें एक दिन का रोजगार मिलता हैं शहर में हम पर डे रोजगार के लिए जा सकते हैं इस लिए हमें,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मेरा बचपन ग्रामीण क्षेत्र में बीता है इस कारण से बागवानी खेती करने का",मेरा बचपन ग्रामीण क्षेत्र में बीता है इस कारण से बागवानी खेती करने का,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उस समय हम बहुत छोटे थे तो हमने इसके लिए घर वालों को भी बहुत मुश्किल से मुश्किलों का सामना करना पड़ा था तब हमने हमारे घर वालों को समझाया था कि हमें यह काम करना ही है और जब हम आस पड़ोस में",उस समय हम बहुत छोटे थे तो हमने इसके लिए घर वालों को भी बहुत मुश्किल से मुश्किलों का सामना करना पड़ा था तब हमने हमारे घर वालों को समझाया था कि हमें यह काम करना ही है और जब हम आस पड़ोस में,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैं शहर में रहती हूँ और जब भी मुझे गाँव जाना रहता है तो मेरा मुख्य उद्देश्य अपने गाँव की फसल को देखना अपने गाँव में जो खेती है वो देखना होता है मैं बहुत ही",मैं शहर में रेहती हूँ और जब भी मुझे गाँव जाना रहता है तो मेरा मुख्य उद्देश्य अपने गाँव की फसल को देखना अपने गाँव में जो खेती है वो देखना होता है मैं बहोत ही,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
शुरू से ही और लास्ट तक मैंने अच्छी पढ़ाई की है उससे पढ़ाई करके मुझे मुझे मंज़िल करनी थी मुझे एक ही मेरी जीवन का उद्देश्य था कि मुझे सरकारी नौकरी चाहिए एक तो मैंने",शुरू से ही और लास्ट तक मैंने अच्छी पढ़ाई की है उससे पढ़ाई करके मुझे मुझे मंज़िल करनी थी मुझे एक ये मेरे जीवन का उद्देश्य था कि मुझे सरकारी नौकरी चाहिए एक तो मैंने,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त एक टाटा चायबागान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गाँव पहुंचे और पिताजी को बोले कि मुझे खेती करना है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और जब भी उसको चलाया करता था तो एक",और जब भी उसको चलाया करता था तो एक,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और ज़्यादा जो बता रहे हो जी",और ज्यादा जो बता रहे हो जी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
देते होते रहे उसको",देते वेते रहें उसको,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और जो जिसे लोग",और जो जिसे लोग,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ये भी मिलता कि",यह भी मिल जाएगी,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और उसका जो",और उसका जो,"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पापा लेकर आए थे",पापा लेकर आए थे,और इससे भी फल जब होते थे तो पिता जी को,और इससे भी आप फल जब होते थे तो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
