One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सौ रुपये में ही वो दूरी तय कर लेता है तो य बहुत ही अच्छा है परिवहन",सौ रुपए में ही वो दूरी तय कर लेता है तो ये बहुत ही अच्छा है परिवहन,मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,मात्र पचास हजार रुपए में शोरूम से घर लाइए एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रुपये में शुरू से घर लाने वाली एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर के फीचर्स
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
एक्चुअल जो स्कूटीज़ में होती है",मानो एक्चुअल जो स्कूटीज़ मे होती है,इसी स्कूटो को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तिेपन हज़ार नौ सौ बावन",तिरेपन हजार नौ सौ बावन,बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,बावन हजार नौ सौ रुपए एक्स शोरूम की शुरूवाती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स-शोरूम की शुरुआती कीमत से लेकर
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ये चौबीस हजार नौ सौ निन्यानवे रुपएे का है",ये चौबीस हज़ार नौ सौ निन्यानवे रुपए का है,चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपए एक्स के साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपए के साथ लॉन्च किया है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है ठीक है यह आप खरीद लीजिए",ठीक है ठीक है यह आप खरीद लीजिये,खरीद सकते हैं,खरीद सकते हैं,खरीद सकते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ताकि गाड़ी देख लो एक बार उसके बार आप देख लो कि नहींी हाँ गाड़ी में क्या सुविधाएं हैं गाड़ी का टायर वायर बिल्कुल न बिल्कुल नहीं गाड़ी है",आके गाड़ी देख लो एक बार उसके बाद आप देख लो की भई हाँ गाड़ी में क्या सुविधाएँ है गाड़ी के टायर वायर बिलकुल नए है बिलकुल नई गाड़ी है,मोटर से लेस किया गया है,मोटर से लेस किया गया है,मोटर से लैस किया गया है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तीन हजार दो हज़ार",तीन हज़ार दो हज़ार,बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती हैं,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
समय के पूर्व मतलब जल्द ही कुछ ही समय पर मेरा मोबाइल चार्ज हो जाए लेकिन इस चार्जर की खासियत यह थी कि वह कम समय में मोबाइल चार्ज कर देता है और इसकी कंपनी काफ़ी अच्छी है",समय के पूर्व मतलब जल्द ही कुछ ही समय पर मेरा मोबाइल चार्ज हो जाए लेकिन इस चार्जर की खासियत यह थी कि वह कम समय में मोबाइल चार्ज कर देता है और इसकी कंपनी काफ़ी अच्छी है,रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,रही बात रेंज को तो कंपनी के अनुसार इसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर,रही बात रेंज को तो कंपनी के अनुसार ऐसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और गतिशीलता इसमें बढ़ रही है क्योंकि अगर आप किसी और साधन से या खुद के उससे जाते हो तो",और गतिशीलता इसमें बढ़ रही है क्योंकि अगर आप किसी और साधन से या ख़ुद के उससे जाते हो तो,तक चला सकती हैं,तक चला सकते हैं,तक चला सकती हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सुविधा है और सुविधा",सुविधाए हैं बहुत सुविधाए हैं,फीचर्स भी जबर्दस्त वहीं फीचर् की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीड़ों मीटर डजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,"फीचर्स भी जबर्दस्त हैं। वहीं फीचर की बात करें तो इसमें डिजिटल स्पीडोमीटर, रिमोट की, चाइल्ड लॉक, आरामदायक सीट और साधन कंसोल हैं।"
