One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सौ रुपये में ही वो दूरी तय कर लेता है तो य बहुत ही अच्छा है परिवहन",सौ रुपए में ही वो दूरी तय कर लेता है तो ये बहुत ही अच्छा है परिवहन,मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,मात्र पचास हजार रुपए में शोरूम से घर लाइए एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रुपए में शुरू से घर लाने की एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
स्कूटी है सर इलेक्ट्रिक",इस्कूटी है सर इलेक्ट्रिक,इसी स्कूटो को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटी को कंपनी ने मार्केट में
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पच्चीस हजार रुपये का",पच्चीस हजार रुपये का,बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,बावन हजार नौ सौ रुपए एक्स शोरूम की शुरूवाती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स-शोरूम की शुरुआत कीमत से लेकर
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ये चौबीस हजार नौ सौ निन्यानवे रुपएे का है",ये चौबीस हज़ार नौ सौ निन्यानवे रुपए का है,चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपए एक्स के साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपए के साथ लॉन्च किया है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कर सकते हैं",कर सकते हैं,खरीद सकते हैं,खरीद सकते हैं,खरीद सकते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चार्ज ही हुई है",चार्ज ही वही है,मोटर से लेस किया गया है,मोटर से लेस किया गया है,मोटर से लैस किया गया है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बैटरी भी कम चल रही है",बैटरी भी कम चल रही है,बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती हैं,बैटरी तीन साल की और मोटर दो साल की warranty के साथ आती है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अच्छा एक बार चार्ज करनेम डेढ़ सौ किलोमीटर चिलगीए ये",अच्छा एक बार चार्ज करने पर डेढ़ सौ किलोमीटर चलेगी ये,रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,रही बात रेंज को तो कंपनी के अनुसार इसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर,रही बात रेंज की तो कंपनी के अनुसार ऐसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर तक चलने का दावा किया गया है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
पार कर सकते हैं",पार कर सकते हैं,तक चला सकती हैं,तक चला सकते हैं,तक चला सकती हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसमें दर्पण वाली लाक की चूड़ियाँ काँच की चूड़ियाँ कुंदन आभूषण जड़ाऊ हार",इसमें दर्पण वाली लाख की चूड़ियाँ काँच की चूड़ियाँ कुंदन आभूषण जड़ाऊ हार,फीचर्स भी जबर्दस्त वहीं फीचर् की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीड़ों मीटर डजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,"फीचर्स भी जबर्दस्त हैं। वहीं फीचर की बात करें तो इसमें डिजिटल स्पीडोमीटर, रिमोट की चाइल्ड लॉक, आरामदायक सीट और साधन कंसोल हैं।"
