Hypothesis,Ground Truth,Response
अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं,अगर आप भी उन्हीं में से हैं और आप चाहते हैं कि भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो
तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,"तो किसान भाइयों, धान की फसल काफी बड़ी हो रही है।"
लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाए,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाते हैं
तो ये बहुत बड़ी समस्या देखने को मिलती है,तो यह बहुत बड़ी समस्या देखने को मिलती हैं,तो ये बहुत बड़ी समस्या देखने को मिलती है।
तो किसान भाइया अगर आपका खेत बड़ा है,तो किसान भाई अगर आपका खेत बड़ा है,"तो किसान भाईयों, अगर आपका खेत बड़ा है"
क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है।
हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,कैसे हम कौन सी दबा डाल कर खरपतवार को नष्ट कर सकते हैं,हम कौन सी दवा डाल के खरपतवार को नष्ट कर सकते हैं
भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता है,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डालता है।
किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टु फोर डिसोडियम साल्ट अस्सी पर्सेन्ट डब्लूपी इस नाम,"किसान भाइयों, इस समस्या से निपटने के लिए आपको करना क्या है? धान के खेत में टूफोर्डी सोडियम साठ प्रतिशत डब्ल्यू पी।"
मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौन सी है,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम-चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,"मैं राजस्थान, जयपुर का हूँ। राजस्थान, रघुरा जी राजस्थान, जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो, इनका जो फॉर्मा है, वो चमचमारा है। देख लीजिए आप, अब ये तकनीक कौन सी है और इस तकनीक के अंदर कौन सी है।"
अब ये तकनीक क्या है ये पूरी विस्तार से रगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इससे बरषात से और दूफ से बचाने के लिए थेली बनाई गई है,अब यह तकनीक क्या है यह पूरी विस्तार से रगुराजी समझाएंगे तो यह तकनीक कौनसी है इससे फायदा क्या इससे से फायदा यह है कि से बरसात से और धूप से बचाने के लिए थेली पहनाई गई है,"अब यह तकनीक क्या है, यह पूरी विस्तार से रगुला जी समझाएंगे। तो यह तकनीक कौन सी है? इसका फायदा क्या है? इसका फायदा यह है कि इससे बारिश से और धूप से बचाने के लिए थैली बनाई गई है।"
इस बास के जो इस बास की जोये इस्केज नहीं होगा बास की ज छिला हुआ रहता है कहीं जब ै बास बहुतहमतलब न नकुली दार आधार रहती है बांस की तो कहीं कबर क्या क्या बेल कटने का डर रहता है तो इस तरह से अगर हाभी लगा लेगा न,इस बांस के जो इस बांस के यह इस के नहीं होगा बास की जगह छिला हुआ रहता है कहीं जगह बास बहुत मतलब नकुलीदार धार रहती है बाँस की तो कहीं का क्या बैल कटने का डर रहता है तो इस तरह से अगर कोई हाथ भी लगा लेगा ना बास,"इस बांस के जोइस बांस की जो भी इसे नहीं होगा, बांस की ज छिला हुआ रहता है कहीं, जब बांस बहुत मतलब न नकुली दर आधार रहती है, बांस की तो कहीं कबर क्या क्या बेल कटने का डर रहता है। तो इस तरह से अगर हाबी लगा लेगा न।"
तोये देख ल कोई फरक उपनी पड़ेगा तो ये दस एकर के खेत के अंदर रगुराजी ने ये प्लानिंग लगाई है ये देख लीजिए आपबहुत ही आप आप उधर देखोगे आपको मैं दिखा देता हूँ आपको,तो यह देखले कोई फर्क नहीं पड़ेगा तो ये दस एकड के खेत के अन्दर रघुराज ने ये प्लानिंग लगाई है यह देख लीजिये आप बहुत ही अब उधर देख लीजिये आपको मैं दिखा देता हु आपको,"तो ये देख लो कोई फर्क तो पड़ेगा। तो ये दस एकड़ के खेत के अंदर रघुराज ने ये प्लानिंग लगाई है। ये देख लीजिए आप। बहुत ही आप उधर देखोगे, आपको मैं दिखा देता हूँ।"
अब इसके ऊपर लौकी की फार्मिंग होगी लोकी फार्मिंग बहुत ी जबरदस्त ये बहुत शानदार प्लानिंग है औ ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह मिलेगी आप लोगों दूनने से भी नहीं मिलेगी अब चा तो ये है कि ये जो ये रोल लाए ये चार इंचका रोल है,अब इसके पर लौकी की फार्मिंग होगी लोकी फार्मेंग बहुत ही जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत बहुत कम जगह मिलेगी आप लोगों को ढूंढने से भी नहीं मिलेगी अब जा तो यह है कि ये जो यह रोल लाए हो यह चार इंच का रोल है,"अब इसके ऊपर लौकी की फार्मिंग होगी। लौकी फार्मिंग बहुत ही जबरदस्त है। ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा, बहुत कम जगह मिलेगी। आप लोगों को ढूंढने से भी नहीं मिलेगी। अब बात तो ये है कि ये जो रोल लाए हैं, ये चार इंच का रोल है।"
तो अब य देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगाड इं कैसी क रखा है इन्होंने े देख लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब ये किस तरह से बासको म बास में ये पन्नी बना रहे है ये देख लीजिए ये फेलिया,तो अब यह देख रहो यह पन्नी है यह देख लीजिए यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने ये देख लीजिए यह रोल है यह रोल लगा रखा यह देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब किस तरह से बास को हम बास में यह पन्नी बना रहे है ये देख लीजिए यह फैलिया,"तो अब आप देख रहे हो ये पन्नी है, ये देख लीजिए, ये चार इंची की है। अब इसका जुगाड़ इन कैसे रखा है, इन्होंने। ये देख लीजिए, ये रोल है, ये रोल लगा रखा है। ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है। अब ये किस तरह से बस को म बस में ये पन्नी बना रहे हैं, ये देख लीजिए ये फेलिया।"
कोई बास अगर वहामें नखुला आ जाता है को धार वगैरह तो उससे पपननी भी फटनगाडर रहता है तो अगर इसको पहना है तो अच्छी तरह बहनाहो आराम से रिलेक्स हो के बनाो धीरे धीरे ह कोई दिक्कत नहीं,कोई बास अगर मान लो नखुला आ जाता है धार वगैरह तो उसे पन्नी भी फट्नेगा डर रहता है तो इसको पहनाए तो अच्छी तरह पहनाओ आराम से और रिलैक्स हो के बनाओ धीरे धीरे कोई दिक्कत नहीं,"कोई बात अगर वहाँ नहीं खुला आ जाता है, को धार वगैरह तो उससे पपननी भी फटने का डर रहता है। तो अगर इसको पहना है, तो अच्छी तरह पहन लो, आराम से रिलैक्स होकर बनाओ, धीरे-धीरें। कोई दिक्कत नहीं।"
हाँ नॉर्मल तेरसे पांच छः सेकेंड तो वैसे लगता है हा क्योंकि कोई बास क्या होताह ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धार ज पड़ जाता है,हा नॉर्मल तरीके से पांच छह सेकेंड तो वैसे लगता है क्योंकि कोई बांस क्या टेढ़ा रहता है ना तो पन्नी बनाते है तो उसका धार फट़ जाता है,"हाँ, नॉर्मल से तेरह से पांच छः सेकेंड तो वैसे लगता है हां क्योंकि कोई बास क्या होता है ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धारा जड़ जाता है।"
तो जमन में जाएगा तो इसको भी इसको फॉलड कर देंगे तो ये मिट्टी बिल्कुल मिट्टी के अंदर नहें रहेगा मिट्टी मे नेरेगा तो दीमक का खतरा बिल्कुल ने रेगा बास का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैंतो मेरे राजस्थान की कहूंगा हो सकता है आपका राज्य के अंदर भी ऐसी हालत हो किसानों की क्याकि महंगे बाव की किसान भाई बास लेके आते हैं और करीबम करीब ब बास के ऊपर एक ा दो से लेपआते हैं और बास खराब हो जाता है,तो जुम्मन में जाएगा तो इसको भी इसको फोल्ड कर देंगे तो यह मिट्टी बिलकुल मिट्टी के अंदर नहीं रहेगा मिट्टी में नहीं रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा बांस का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैं तो मेरे राजस्थान की कहूँगा हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की क्या है कि महंगे भाव के किसान भाईं बास लेके आते हैं और करीबिन करीबन बास के ऊपर एक या दो परसेंट ले पाते हैं और बास खराब हो जाता है या,"तो जब ये जमीन में जाएगा तो इसको भी फॉल्ड कर देंगे तो ये मिट्टी के बिल्कुल अंदर नहीं रहेगा। मिट्टी में रहेगा तो दीमक का खतरा बिल्कुल नहीं रहेगा। बांस का और बांस की उम्र बढ़ जाएगी। भारत के अंदर बहुत से ऐसे किसान मित्र हैं, मैं तो मेरे राजस्थान की कहूंगा, हो सकता है आपके राज्य के अंदर भी ऐसी हालत हो किसानों की, क्योंकि महंगे बांस की किसान भाई बांस लेके आते हैं और करीब-करीब बांस के ऊपर एक या दो से लेप लगाते हैं और बांस खराब हो जाता है।"
जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पननी का अपन बास लगाए तो कितने सालेगा और अगर इस टकनीक से गर बास को पन काम में ले ये प्लास्टिक की जो पीवीसीथेली है ये पहना के और इस बास को काम में लेंगे तो येकितने साल चलेगा ात ये दे लीजए मेरे किसान चार से ांच साल तक ये बासकी कैपिसिटी उम्र बढ़ जाती है,पाँच साल में होई पर पर जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पन्नी का अपन बाँस लगाए तो कितने साथ चलेगा छह महीने छह महीने चलेगा और अगर इस तकनीक से के बास को अपने काम में लें ये प्लास्टिक के जो पीवीस थेली है यह पहनाके अगर इस बास को काम में लेंगे तो ये कितने साल चलेगा चार से पांच साल चार से पाँच साल चल बिलकुल चलेगा तो ये देख लीजिये किसान भाई चार से पांच साल तक यह बास की कैपिसिटी उम्र बढ़ जाती है,"जैसे अगर नॉर्मल बास को बिना पन्नी का अपन बास लगाए तो कितने साल चलेगा और अगर इस तकनीक से बास को पन्नी काम में ले ये प्लास्टिक की जो पीवीसी टहली है ये पहना के और इस बास को काम में लेंगे तो ये कितने साल चलेगा, ये दे लीजिए मेरे किसान चार से पांच साल तक ये बास की कैपिसिटी उम्र बढ़ जाती है।"
तो ये है तकनीकक्या नाम बता ने रुरासिंरगुरा सिंह जी की बहुत तकनीक है,तो यह तकनीक क्या नाम बताया आपने रघुराज सिंह रघुराज सिंह जी बहुत तकनीक है,तो ये है तकनीक। क्या नाम बताएँ रूरासिंह गुरा सिंह जी की? बहुत तकनीक है।
कास्टराजपूतपतोराजपूतो क तनी तक एडवांस टकनीक सहै,कास्ट राजपूत हो तो राजपूतों की इतनी एडवांस तकनीक से,कास्टराजपूत पतो राजपूतों की तनी तक एडवांस तकनीक है।
र येलोकी लगाओग कैन इसका वीडो,और ये लोकी लगाओ गे है न इसका वीडियो,र येलो की लगाओगे कैन इसका वीडियो
कम का वीडियो और बनाऊंगा आगे,हुकमका वीडियो और बनाऊंगा आगे,कम का वीडियो और बनाऊंगा आगे।
और भी ये देख लीजिए बहुत तकनीक बहुत ही घसब की टकनेके लग रही है मतलब ये दस एकड़ का खेत है इनका करीबं करीबम समथिंग दस एकड़ का खेत है थोड़ा बहुत कमभी हो सकता है,और ये देख लीजिये बहुत तकनीक बहुत गजब की तकनीक लग रही है मतलब यह दस एकड़ का खेत है इनका करीबन करीबन समथिंग दस एकड़ का खेत है थोड़ा बहुत कम भी हो सकता है,"और भी ये देख लीजिए, बहुत तकनीक बहुत ही गजब की लग रही है। मतलब ये दस एकड़ का खेत है, इनका करीब करीब समथिंग दस एकड़ का खेत है। थोड़ा बहुत कम भी हो सकता है।"
एवरेज उसे बता रहा हूँ मैं तो ये देख लीजिए बहुत ही शानदार तकनीसे यी लग रहा है मैं दूर ऐसे तो मेरी परिस्थित है मेरे गांव के पास मेंी है,एवरेज उसे बता रहा हूं मैं तो यह देख लीजिये जब बहुत ही शानदार तकनीक से ही लग रहा है मैं दूर से ऐसे तो मेरी परिस्थिति है मेरे गांव के पास में ही है,"एवरेज उसे बता रहा हूँ, मैं तो ये देख लीजिए, बहुत ही शानदार तकनीक लग रही है। मैं दूर ऐसे तो मेरी परिस्थितियाँ मेरे गांव के पास हैं।"
तो बहुत ही अच्छा इनका खेत की तकनेक लगी हा आपके मन के अंदर रै,तो बहुत अच्छा इनका खेती कि तकनेकि लगी हाँ आपके मन के अंदर एक और,तो बहुत ही अच्छा इनका खेत की तकनीक लगी है आपके मन के अंदर रहा।
