One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमें जब तैराकी में कम ऑक्सीजन पर जीवन जते हैं तो हमारा स््वास",हमें जब तैराकी में कम ऑक्सीजन पर जीवन जीते हैं तो हमारा श्वांस,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं,अगर आप भी उन्हीं में से हैं और आप चाहते हैं कि भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और सर मेरे शरी में सर मोटा प ज़्यादा आ रहा है और सर मेरे को थोड़ी साँस लेने है मे से वजन की वजह से तकलीफ हो रही है",और सर मेरे शरीर में सर मोटापा ज़्यादा आ रहा है और सर मेरे को थोड़ी साँस लेने में वज़न की वजह से तकलीफ़ हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,"तो किसान भाइयों, धान की फसल काफी बड़ी हो रही है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जब वहाँ से वापस आते हैं तो हमें एक बहुत ही उत्साहित और बहुत ही अचीवमेंट भरा",जब वहाँ से वापस आते हैं तो हमें एक बहुत ही उत उत्‍साहित और बहुत ही अचीवमेंट भरा,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाए,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं तो
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मुझे अडयार में आज नमी का स्तर बताओ",मुझे अड्यार में आज नमी का स्तर बताओ,तो ये बहुत बड़ी समस्या देखने को मिलती है,तो यह बहुत बड़ी समस्या देखने को मिलती हैं,तो यह बहुत बड़ी समस्या देखने को मिलती है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ओके सर",ओके सर,तो किसान भाइया अगर आपका खेत बड़ा है,तो किसान भाई अगर आपका खेत बड़ा है,"तो किसान भाई, अगर आपका खेत बड़ा है"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तब शादियोंँ का समापन हो पाता मतलब शुरू से लेके आखरी तभी है न पूरी शादी हो पाती थी अब तो ये है कि पहले से इतनी जागरूता बढ़ गई है कि लोगों ने बहुत कुछ पीछे छोड़ दिया है लेकिन फिर भी अब इतना नहीं कर पाता इंसान इतना बिजी है इतना पैसा नहीं है और दूसरा",तब शादियाँ अब को समापन हो पता मतलब शुरू से ले कर एन आख़री तभी ये ना पूरी शादी हो पाती थी अब तो ये है कि पहले से इतनी जागृता बढ़ गई है कि लोगों ने बहुत कुछ पीछे छोड़ दिया है लेकिन फिर भी अब इतना नहीं कर पाता इंसान इतना बिजी है इतना पैसा नहीं है और दूसरा,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ी कमलन का कर ले गयाप फेरी",जी कंप्लैन दर्ज कर लीजिए आप मेरी,हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,कैसे हम कौन सी दबा डाल कर खरपतवार को नष्ट कर सकते हैं,हम कौन सीिका दबा डालकर खरपतवार को नष्ट कर सकते हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मंडदान कई भाव में देखने को मिले हैं हमें लहंगी भूमिकाओं में भी देखने को मिले हैं पारिवारिक संरक्षा में भी और सामाजिक मंद डान में भी",मंडदान कई भाव में देखने को मिले हैं हमें भूमि गाँव में भी देखने को मिले हैं पारिवारिक संरक्षण हम ने भी और सामाजिक मंडदान में भी,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता है,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डालता है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
सब मानना चल जाता है अभी हाल में",सब मालूम चल जाता है अभी हाल में,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टु फोर डिसोडियम साल्ट अस्सी पर्सेन्ट डब्लूपी इस नाम,"किसान भाइयों, इस समस्या से निपटने के लिए आपको करना क्या है: धान के खेत में टूफोर्डी सोडियम सार्थ अस्सी प्रतिशत डब्ल्यू पी।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मैं कुछ दिन पहले पचमढी घूमने गई थी जहाँ पर मुझे बहुत अच्छा लगा था बहुत ऊँंचे ऊँचे पहाड़ हैं वहाँ पर पहाड़ी चढ़के हम भोलनाथ के दर्शन करने जाते हैं पचमढ़ी के मंदिर में बहुत हरियाली है",मैं कुछ दिन पहले पंचमढ़ी घूमने गई थी जहाँ पे मुझे बहुत अच्छा लगा था बहुत ऊंचे ऊंचे पहाड़ है वहाँ पर पहाड़ी चढ़कर हम भोलेनाथ के दर्शन करने जाते हैं पंचमढ़ी के मंदिर में बहुत हरियाली है,मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौन सी है,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम-चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,"मैं राजस्थान, जयपुर का हूँ। राजस्थान, रघुरा जी राजस्थान, जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो, इनका जो फार्मा अब देख लीजिए। आप अब ये तकनीक कौन सी है और इस तकनीक के अंदर कौन सी है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ठीक है मैं समझ गई हूँ तो आप आ जाइए देख लेंगे",ठीक है मैं समझ गई हूँ तो आप आ जाइए देख लेंगे,अब ये तकनीक क्या है ये पूरी विस्तार से रगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इससे बरषात से और दूफ से बचाने के लिए थेली बनाई गई है,अब यह तकनीक क्या है यह पूरी विस्तार से रगुराजी समझाएंगे तो यह तकनीक कौनसी है इससे फायदा क्या इससे से फायदा यह है कि से बरसात से और धूप से बचाने के लिए थेली पहनाई गई है,"अब ये तकनीक क्या है, ये पूरी विस्तार से रगुला जी समझाएंगे। तो ये तकनीक कौन सी है? ऐसे फायदा क्या है? इसे फायदा यह है कि इससे बरसात से और धूप से बचाने के लिए थेली बनाई गई है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नमस्ते बताइए",नमस्ते बताइए,इस बास के जो इस बास की जोये इस्केज नहीं होगा बास की ज छिला हुआ रहता है कहीं जब ै बास बहुतहमतलब न नकुली दार आधार रहती है बांस की तो कहीं कबर क्या क्या बेल कटने का डर रहता है तो इस तरह से अगर हाभी लगा लेगा न,इस बांस के जो इस बांस के यह इस के नहीं होगा बास की जगह छिला हुआ रहता है कहीं जगह बास बहुत मतलब नकुलीदार धार रहती है बाँस की तो कहीं का क्या बैल कटने का डर रहता है तो इस तरह से अगर कोई हाथ भी लगा लेगा ना बास,"इस बांस के जो इस बांस की जोड़े इस्के नहीं होगा, बांस की ज छिला हुआ रहता है कहीं। जब बांस बहुत मतलब न नकली दार आधार रहती है बांस की, तो कहींकबर क्या-क्या बेल कटने का डर रहता है। तो इस तरह से अगर हाबी लगा लेगा न।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
बिल्कुल सर ओके",बिल्कुल सर ओके,तोये देख ल कोई फरक उपनी पड़ेगा तो ये दस एकर के खेत के अंदर रगुराजी ने ये प्लानिंग लगाई है ये देख लीजिए आपबहुत ही आप आप उधर देखोगे आपको मैं दिखा देता हूँ आपको,तो यह देखले कोई फर्क नहीं पड़ेगा तो ये दस एकड के खेत के अन्दर रघुराज ने ये प्लानिंग लगाई है यह देख लीजिये आप बहुत ही अब उधर देख लीजिये आपको मैं दिखा देता हु आपको,"तो ये देख लीजिए, कोई फरक पड़ने पर ये दस एकड़ के खेत के अंदर रघुराजी ने ये प्लानिंग लगाई है। ये देख लीजिए आप। बहुत ही, आप आप उधर देखोगे, आपको मैं दिखा देता हूँ।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी सारा का मिला के इन सब का रेट लगभग साढ़े तीन चार हज़ार जाएगा",जी सारा का मिला कर इन सबका रेट लगभग साढ़े तीन चार हज़ार जाएगा,अब इसके ऊपर लौकी की फार्मिंग होगी लोकी फार्मिंग बहुत ी जबरदस्त ये बहुत शानदार प्लानिंग है औ ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह मिलेगी आप लोगों दूनने से भी नहीं मिलेगी अब चा तो ये है कि ये जो ये रोल लाए ये चार इंचका रोल है,अब इसके पर लौकी की फार्मिंग होगी लोकी फार्मेंग बहुत ही जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत बहुत कम जगह मिलेगी आप लोगों को ढूंढने से भी नहीं मिलेगी अब जा तो यह है कि ये जो यह रोल लाए हो यह चार इंच का रोल है,"अब इसके ऊपर लौकी की फार्मिंग होगी। लौकी फार्मिंग बहुत ही जबरदस्त है, ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा नहीं मिलेगी। आप लोगों को ढूंढने से भी नहीं मिलेगी। अब मौका तो ये है कि ये जो रोल लाए हैं, ये चार इंच का रोल है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जैसा कि हम सब जानते हैं कि हिंदी हमारी राष्ट्र भाषा है तो हिंदी बोलने वाले लोग अपनी सांस्कृतिक परंपराओं का जश्न मनाने और उनका सम्मान करने के लिए",जैसा कि हम सब जानते हैं की हिंदी हमारी राष्ट्र भाषा है तो हिंदी बोलने वाले लोग अपनी सांस्कृतिक परंपराओं का जश्न मनाने और उनका सम्मान करने के लिए,तो अब य देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगाड इं कैसी क रखा है इन्होंने े देख लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब ये किस तरह से बासको म बास में ये पन्नी बना रहे है ये देख लीजिए ये फेलिया,तो अब यह देख रहो यह पन्नी है यह देख लीजिए यह चार इंच की है अब इसका जुगाड़ कैसे कर रखा है इन्होंने ये देख लीजिए यह रोल है यह रोल लगा रखा यह देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब किस तरह से बास को हम बास में यह पन्नी बना रहे है ये देख लीजिए यह फैलिया,"तो अब आप देख रहे हो ये पन्नी है, ये देख लीजिए ये चार इंच की है। अब इसका जुगाड़ इन कैसे रखा है, इन्होंने, ये देख लीजिए ये रोल है। ये रोल लगा रखा है, ये देख लीजिए आप। ये रोल देख लीजिए किस तरह से लगा रखा है। अब ये किस तरह से बास्को में ये पन्नी बना रहे हैं, ये देख लीजिए ये फैलिया।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
वो मतलब ऐसे उसका वो जो रंग था वो भी नहीं उत र और वो बहुत मजबूत भी थी",वो मतलब ऐसे उसका वो जो रंग था वो भी नी उतरा और वो बहुत मजबूत भी थी,कोई बास अगर वहामें नखुला आ जाता है को धार वगैरह तो उससे पपननी भी फटनगाडर रहता है तो अगर इसको पहना है तो अच्छी तरह बहनाहो आराम से रिलेक्स हो के बनाो धीरे धीरे ह कोई दिक्कत नहीं,कोई बास अगर मान लो नखुला आ जाता है धार वगैरह तो उसे पन्नी भी फट्नेगा डर रहता है तो इसको पहनाए तो अच्छी तरह पहनाओ आराम से और रिलैक्स हो के बनाओ धीरे धीरे कोई दिक्कत नहीं,"कोई बास अगर वहां न खुला आ जाता है को धार वगैरह तो उससे पहननी भी फट जाती है। तो अगर इसको पहना है तो अच्छी तरह से आराम से रिलैक्स होकर पहनो, धीरे-धीरे, कोई दिक्कत नहीं।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
नहीं मैंने खिचड़ी खाई थी आपने बोला था खिचड़ी या दलिए में से कुछ खा लेना थोड़ा सा तो मैंने खिचड़ी ली थी थोड़ी सी और वैसे मेरी मेडिकल कंडिशन कब तक ठीक होगी डॉक्टर मैडम आप मुझे एक बार बता देंगे",नहीं मैंने खिचड़ी खाई थी आपने बोला था खिचड़ी या दलिये में से कुछ खा लेना थोड़ा सा तो मैंने खिचड़ी ली थी थोड़ी सी और वैसे मेरी मेडिकल कन्डिशन कब तक ठीक होगी डॉक्टर मैडम आप मुझे एक बार बता देंगे,हाँ नॉर्मल तेरसे पांच छः सेकेंड तो वैसे लगता है हा क्योंकि कोई बास क्या होताह ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धार ज पड़ जाता है,हा नॉर्मल तरीके से पांच छह सेकेंड तो वैसे लगता है क्योंकि कोई बांस क्या टेढ़ा रहता है ना तो पन्नी बनाते है तो उसका धार फट़ जाता है,"हाँ, नॉर्मल तेरह से पांच छः सेकंड तो वैसे लगता है हाँ क्योंकि कोई बेस क्या होता है, ट्रेडर रहता है ना, तो पन्नी पराते हैं तो उसका धार पड़ जाता है।"
