One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हाँ बिल्कुल जैसा आप चाहोगे वैसे ही बनेगी वीडियो",हाँ बिल्कुल जैसा आप चाहोगे वैसी ही बनेगी वीडियो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इस से भी अच्छी वीडियो आएं तो
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
धान उत्पादक जिला होने के कारण",धान उत्पादक जिला होने के कारण,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,"तो किसान भाइयों, धान की फसल काफी बड़ी हो रही है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जैसे कि बरसात के मौसम में से पहले हम धान की बीज को एक खेत में घाटते हैं जब बीज का पौधा हो जाता है तो",जैसे की बरसात के मौसम में से पहले हम धान के बीज को एक खेत में गाड़ते हैं जब बीच का पौधा हो जाता है तो,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाए,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएँ
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जी सर जी समस्या ह",जी सर जी समझ सकता हूँ,तो ये बहुत बड़ी समस्या देखने को मिलती है,तो यह बहुत बड़ी समस्या देखने को मिलती हैं,तो ये बहुत बड़ी समस्या देखने को मिलती है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो गाँव में क्या होता है आप ज़्यादा खेती अगर",तो गाँव में क्या होता है आप ज़्यादा खेती अगर,तो किसान भाइया अगर आपका खेत बड़ा है,तो किसान भाई अगर आपका खेत बड़ा है,तो किसान भाई अगर आपका खेत बड़ा है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
ये बहुत ही रूप से पौधों को खराब करने में बहुत ही बड़ा इन लोग का हाथ होता है ये बहुत ही बड़ा समस्या है",ये बहुत ही रूप से इन पौधों को खराब करने में बहुत ही बड़ा इन लोगों का हाथ होता है ये बहुत ही बड़ा समस्या है,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल काम है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
उनसे हम विभिन्न तौर तरीकों के माध्यम से निपटते हैं जिसमें आता है कवर क्रॉप्स कवर क्रॉप्स के माध्यम से हम फसल को एक तरीके से ढक देते हैं जिससे कि कीड़े",उनसे हम विभिन्न तौर तरीकों के माध्यम से निपटते हैं जिसमे आता है कवर क्रॉप्स कवर क्रॉप्स के माध्यम से हम फसल को एक तरीके से ढक देते हैं जिससे की कीड़े,हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,कैसे हम कौन सी दबा डाल कर खरपतवार को नष्ट कर सकते हैं,हम कौन सी दवा डालकर खरपतवार को नष्ट कर सकते हैं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
अर हमारा भी इसमें नुकसान होता है हम भी तो खेत में करते हैं खाद बीज देते हैं",अरे हमारा भी इस में नुक़सान होता है हम भी तो खेत में करते हैं खाद बीज देते हैं,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता है,खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डालता है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमें हम एक कृषक खेत हम लोग एक कृषक हैं और हम लोग खेती करते हैं खेती में पानी डालने के लिए हें बिजली की आवश्यकता होती है मोटर चलाने के लिए बिजली की आवश्यकता होती है लेकिन बिजली की कटौसी से हम पानी",हमें हम एक कृषक खेत हम लोग एक कृषक हैं और हम लोग खेती करते हैं खेती में पानी डालने के लिए हमें बिजली की आवश्यकता होती है मोटर चलाने के लिए बिजली की आवश्यकता होती है लेकिन बिजली की कटौती से हम पानी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टु फोर डिसोडियम साल्ट अस्सी पर्सेन्ट डब्लूपी इस नाम,"किसान भाइयों, इस समस्या से निपटने के लिए आपको क्या करना है? धान के खेत में टूफोर्डी सोडियम सार्थ अस्सी प्रतिशत डब्ल्यू पी"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
कि राजस्थान की शिक्षा प्रणाली ने बहुत ही आधुनिक प्रयोगशालाएँ रिसर्च इंस्टिट्यूट्स",कि राजस्थान के शिक्षा प्रणाली ने बहुत ही आधुनिक प्रयोग शालाएँ रिसर्च इंस्ट्यूट्स,मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौन सी है,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,"मैं राजस्थान जयपुर का हूँ। राजस्थान रघुराजी राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो, इनका जो फॉर्म है, वो चमचमाता आया है। देख लीजिए आप। अब ये तकनीक कौन सी है और इस तकनीक के अंदर कौन सी है।"
