One_Shot_Input,One_Shot_Response,Hypothesis,Ground Truth,Response
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
आप मुझे कुछ बेहतर बताइए",आप मुझ कुछ बेहतर बताइये,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं,अगर आप भी उन्हीं में से हैं और आप चाहते हैं कि भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
और चावल की फसल करना ज़्यादा प्रेफर करते हैं",और चावल की फ़सल करना ज़्यादा प्रेफर करते हैं,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,"तो किसान भाइयों, धान की फसल काफी बड़ी हो रही है।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
जैसे कि बरसात के मौसम में से पहले हम धान की बीज को एक खेत में घाटते हैं जब बीज का पौधा हो जाता है तो",जैसे की बरसात के मौसम में से पहले हम धान के बीज को एक खेत में गाड़ते हैं जब बीच का पौधा हो जाता है तो,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाए,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
इसलिए हमें काफ़ी समस्याओं का सामना करना पड़ता है",इसलिए हमें काफ़ी समस्याओं का सामना करना पड़ता है,तो ये बहुत बड़ी समस्या देखने को मिलती है,तो यह बहुत बड़ी समस्या देखने को मिलती हैं,तो ये बहुत बड़ी समस्या देखने को मिलती है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
तो गाँव में क्या होता है आप ज़्यादा खेती अगर",तो गाँव में क्या होता है आप ज़्यादा खेती अगर,तो किसान भाइया अगर आपका खेत बड़ा है,तो किसान भाई अगर आपका खेत बड़ा है,तो किसान भाई अगर आपका खेत बड़ा है
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
घर में गार्डन बनाना बहुत ही मुश्किल है क्योंकि उसके लिए हमें सबसे पहले",घर में गार्डन बनाना बहुत ही मुश्किल है क्योंकि उसके लिए हमें सबसे पहले,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमें घुष देना पड़ता है",हमें घूस देना पड़ता है,हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,कैसे हम कौन सी दबा डाल कर खरपतवार को नष्ट कर सकते हैं,हम कौन सी दवा डाल के खरपतवार को नष्ट कर सकते हैं।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
चारे की फ़सलें बोई जाती हैं चरी ज्वार गन्ने मतलब काफ़ी फ़सलें बोई जाती यहाँ हमारे यहाँ पर",चारे की फ़सलें बोई जाती हैं चरी ज्वार गन्ने मतलब काफ़ी फ़सलें बोई जाती हैं यहाँ हमारे यहाँ पर,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता है,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डालता है।
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
मतलब आप य कहना चाह रहे हो एक किलो टमाटर दो सौ पैंतीस रुपए लगाऊं",मतलब आप यह कहना चाह रहे हो के एक किलो टमाटर दो सौ पैंतीस रुपए लगाऊँ,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टु फोर डिसोडियम साल्ट अस्सी पर्सेन्ट डब्लूपी इस नाम,"किसान भाइयों, इस समस्या से निपटने के लिए आपको करना क्या है? धान के खेत में टूफोर्डी सोडियम सार्थ अस्सी प्रतिशत डब्ल्यू पी।"
"The following Hindi ASR transcription may or may not contain errors. If you find any spelling, grammatical, or meaning-related errors, correct them and return the corrected version without any explanation. If the text is already correct, return it unchanged without any explanation.
हमारे यहाँ का जो राजस्थान का जो जयपुर का जो नृत्य है घूमर है वह काफ़ी प्रसिद्ध है यहाँ की जो कलाएँ हैं यहाँ की जो मूर्तियाँ हैं जो शिल्प है वह बहुत ज़्यादा प्रसिद्ध है",हमारे यहाँ का जो राजस्थान का जो जयपुर का जो नृत्य है घूमर है वह काफ़ी प्रसिद्ध है यहाँ की जो कलाएं हैं यहाँ की जो मूर्तियाँ हैं जो शिल्प है वह बहुत ज़्यादा प्रसिद्ध हैं,मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौन सी है,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,"मैं राजस्थान जयपुर का हूँ। राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी यह जो तकनीक देख रहे हो, इनका जो फॉर्मा भी चमचमाया हुआ है, देख लीजिए आप। अब यह तकनीक कौन सी है और इस तकनीक के अंदर कौन सी है?"
