File,ground_truth,wav2vec2,IC,Ourmodel
02000010001_chunk_019.wav,और सामने जो मुझे दिख रही हैं,आय और सामने ज मुझे दिख रही हैंकि,और सामने के बजे देख रही हैं,और सामने ज मुझे दिख रही ै
02000010001_chunk_028.wav,तो ये,तो ये,तो ये,तो ये
02000010001_chunk_032.wav,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़ेबड़े पेड़ पड़े हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हू
02000010001_chunk_062.wav,इसका ये,इसका ये,इसका ये,
02000010001_chunk_079.wav,सर्दियों में खूब अच्छे से पीला फूल देगी,डी आसर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी
02000010001_chunk_102.wav,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,रें मुझे ये पर्सनलही ये साइस काफी अच्छा लगता है,मुझे ये पर्सनली य साइज़ काफ़ी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है
02000010001_chunk_241.wav,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,े ये मैं पेंट जो मेरे छत का पेंट का कलर में छूस करती हूं वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगे और उसे क्या होताहै,ये मैं पेंट जो मेरे छत का पेंंट का कलर मैं चूज़ करती हूँ वो कराती रहती हूँ पहले ये पैरेड ग्रीन थे अभी हो गए और उससे क्या होते है,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता
02000100001_chunk_008.wav,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,ै इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहत ैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं
02000100001_chunk_033.wav,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्तो एकटाटा चाय चायबगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गाँव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर परे जाके काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गाँव पहुँंचे और पिताजी को बोलेें कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है
02000100001_chunk_040.wav,और इससे भी आप फल जब होते थे तो पिताजी को,और इसे भी आ फल जब होते थे तो पिता जी को,और इससे भी फल जब होते थे तोो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
