filename,ground_truth,IC,wav2vec2,Ourmodel
02000020001_chunk_002,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं,अगर आप भी उन्ही में से है और आप चाहते है भविष्य में ऐसी विडियो या इससे भी अच्छी विडियो आयेप,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं तो आप इस,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो
02000020001_chunk_005,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है
02000020001_chunk_007,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाए,लेकिन इस समय पर अग आप धान के खेत में खप हो,है लेकिन इस समय पर अगर आपके धान के खेत में खरपत्वार हो जाए,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं
02000020001_chunk_008,तो यह बहुत बड़ी समस्या देखने को मिलती हैं,तो एक बहुत बड़ी समस्या देखने को मिलती है,तो यह बहुत बड़ी समस्या देखने को मिलती है,तो ये बहुत बड़ी समस्या देखने को मिलती है
02000020001_chunk_010,तो किसान भाई अगर आपका खेत बड़ा है,तो किशन भाई अगर आपका हित बड़ा है,तो किसान बियागर आपका खेत बड़ा है,तो किसान भाइया अगर आपका खेत बड़ा है
02000020001_chunk_012,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिससे,क्योंकि खरपतवारों को हाथ से निकालना तब बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि
02000020001_chunk_014,कैसे हम कौन सी दबा डाल कर खरपतवार को नष्ट कर सकते हैं,हम कौन सी दवा डालकर खर पतवार को नष्ट कर सकते हैं,हम कौनसी दबाडाल के खरपत्वर को नष्ट कर सकते है,हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं
02000020001_chunk_015,धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता है,धान के खेत में खरपतवार का होना यह हमारे खेत आ बहुत गहरा प्रभाव डालता है,ै धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै
02000020001_chunk_018,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टु फोर डिसोडियम साल्ट अस्सी पर्सेन्ट डब्लूपी इस नाम,किसान भाइयो इस समस्या ऐसी नपटने के लिए आपको करना क्या है धन के खेत में टू फोर डी सोडियम शर्ट अस्सी परसेंट डब्लू पी जी इस नाम,है किसानभाइयों इस समस्या से निपटने के लिए आपको करना कहै धान के खेत में टूफोर्डी सोडियम सार्ट अ पर्सेंट डब्लयूपी इस नाम,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी
02000060001_chunk_003,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम-चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,मै राजस्थान जयपुर का हूँ राजस्थान रघुराज जी राजस्थान जयपुर  से है और इनकी य जो तकनीक देख रहे हो इनका जो फार््म हाउस है चमचमा रहा है यह देख लीजिये आप अब यह तकनीक कौन सी है और इस तकनीक के अ्दर कौन सी हु,में राजस्थान जयपुर का हूँ राजस्थान रगुराजी राजस्थान जयपुर से है और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा स चमचमर आगे देख लिजया अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौन सी होई,मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और  इस इस तकनीक के अंदर कौन सी  है
