filename,ground_truth,Ourmodel,Original_ID
02000020001_chunk_002,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इसे भी अच्छी वीडियो आएं,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,0
02000020001_chunk_005,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,1
02000020001_chunk_007,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाए,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,2
02000020001_chunk_008,तो यह बहुत बड़ी समस्या देखने को मिलती हैं,तो ये बहुत बड़ी समस्या देखने को मिलती है,3
02000020001_chunk_010,तो किसान भाई अगर आपका खेत बड़ा है,तो किसान भाइया अगर आपका खेत बड़ा है,4
02000020001_chunk_012,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जिसे,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,5
02000020001_chunk_014,कैसे हम कौन सी दबा डाल कर खरपतवार को नष्ट कर सकते हैं,हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,6
02000020001_chunk_015,धान के खेत में खरपतवार का होना ये हमारे खेत पर बहुत गहरा प्रभाव डालता है,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,7
02000020001_chunk_018,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टु फोर डिसोडियम साल्ट अस्सी पर्सेन्ट डब्लूपी इस नाम,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,8
02000060001_chunk_003,मैं राजस्थान जयपुर का हु राजस्थान रघुराज राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हो इनका जो फॉर्मा औसत चम-चमा रहा है ये देख लीजिए आप अब ये तकनीक कौन सी है और इस इस तकनीक के अंदर कौण सी हो,मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए,9
