Ourmodel,Hypothesis,Predictions
अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आए तो,अगर आप भी उन्हीं में से हैं और आप चाहते हैं भविष्य में ऐसी वीडियो या इससे भी अच्छी वीडियो आएं
तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाइयों धान की फसल काफी बड़ी हो रही है,तो किसान भाईयों धान की फसल काफी बढ़ी हो रही है
लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं,लेकिन इस समय पर अगर आपके धान के खेत में खरपतवार हो जाएं
तो ये बहुत बड़ी समस्या देखने को मिलती है,तो ये बहुत बड़ी समस्या देखने को मिलती है,तो ये बहुत बड़ी समस्या देखने को मिलती है
तो किसान भाइया अगर आपका खेत बड़ा है,तो किसान भाइया अगर आपका खेत बड़ा है,तो किसान भाइया अगर आपका खेत बढ़ा है
क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है जि,क्योंकि खरपतवारों को हाथ से निकालना तो बहुत ही मुश्किल का काम है
हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,हम कौन सी दबा डाल के खर पतिवार को नष्ट कर सकेत हैं,हम कौन सी दबाव डालके खरपतिवार को नष्ट कर सकेंगे
भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभाव डाहै,भान के खेत में खरपतवार का होना ये हमारे खेत में बहुत गहरा प्रभावित है
किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टूफोर्डी सोडियम सार्ठ अस्सी परसेंट डब्लू पी,किसान भाइयों इस समस्या से निपटने के लिए आपको करना क्या है धान के खेत में टू पोर्टी सोडियम साठ अस्सी परसेंट डब्ल्यूपी
मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और  इस इस तकनीक के अंदर कौन सी  है,मैं राजस्थान जयपुर का हू राजस्थान रघुरा जी राजस्थान जयपुर से हैं और इनकी ये जो तनीक देख रहे हो इनका जो फॉर्मा ऑस चमचमारा आए देख लीजिए आप अब ये तकनीक कौन सी है और  इस इस तकनीक के अंदर कौन सी  है,मैं राजस्थान जयपुर का हू राजस्थान रघुराजी राजस्थान जयपुर से हैं और इनकी ये जो तकनीक देख रहे हों इनका जो फॉर्मा ऑस चमच मारा आए देख लीजिए आप अब ये तकनीक कौन सी है और ऐसी इस तकनीक के अंदर कौन सी है
अब ये तकनीक क्या है ये पूरी विस्तार से रगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इससे बरषात से और दूफ से बचाने के लिए थेली बनाई गई है,अब ये तकनीक क्या है ये पूरी विस्तार से रगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इससे बरषात से और दूफ से बचाने के लिए थेली बनाई गई है,अब ये तकनीक क्या है ये पूरी विस्तार से रेगुला जी समझाएंगे तो ये तकनीक कौनसी है ऐसे फायदा क्या है इसे फायदा यह है कि इसे वर्षा से और दूध से बचाने के लिए थेली बनाई गई है
इस बास के जो इस बास की जोये इस्केज नहीं होगा बास की ज छिला हुआ रहता है कहीं जब ै बास बहुतहमतलब न नकुली दार आधार रहती है बांस की तो कहीं कबर क्या क्या  बेल कटने का डर रहता है तो इस तरह से अगर हाभी लगा लेगा न,इस बास के जो इस बास की जोये इस्केज नहीं होगा बास की ज छिला हुआ रहता है कहीं जब ै बास बहुतहमतलब न नकुली दार आधार रहती है बांस की तो कहीं कबर क्या क्या  बेल कटने का डर रहता है तो इस तरह से अगर हाभी लगा लेगा न,इस भारत की जो इस भारत की जो इस भारत की जो एस्केज नहीं होगा बांस की जिसमें छिला हुआ रहता है कहीं जब भारत मास्क बहुत अहमतलब है नकुली दर आधार रहती है बांस की तो कहीं कवर क्याक्या बेल कटने का डर रहता है तो
तोये देख ल कोई फरक उपनी पड़ेगा तो ये दस एकर के खेत के अंदर रगुराजी ने ये प्लानिंग लगाई है ये देख लीजिए आपबहुत ही आप आप उधर देखोगे आपको मैं दिखा देता हूँ आपको,तोये देख ल कोई फरक उपनी पड़ेगा तो ये दस एकर के खेत के अंदर रगुराजी ने ये प्लानिंग लगाई है ये देख लीजिए आपबहुत ही आप आप उधर देखोगे आपको मैं दिखा देता हूँ आपको,तोये देख लेकिन कोई फर्क उफनी पड़ेगा तो ये दस एकड़ के खेत के अंदर रघुराजी ने ये प्लानिंग लगाई है ये देख लीजिए बहुत ही आप उधर देखोगे आपको मैं दिखा देता हूं आपको
अब इसके ऊपर लौकी की फार्मिंग होगी लोकी फार्मिंग बहुत ी जबरदस्त ये बहुत शानदार प्लानिंग है औ ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह मिलेगी आप लोगों  दूनने से भी नहीं मिलेगी अब चा तो ये है कि ये जो ये रोल लाए ये चार इंचका रोल है,अब इसके ऊपर लौकी की फार्मिंग होगी लोकी फार्मिंग बहुत ी जबरदस्त ये बहुत शानदार प्लानिंग है औ ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह मिलेगी आप लोगों  दूनने से भी नहीं मिलेगी अब चा तो ये है कि ये जो ये रोल लाए ये चार इंचका रोल है,अब इसके ऊपर लॉकी की फार्मिंग होगी लोकी फार्मिंग बहुत भी जबरदस्त ये बहुत शानदार प्लानिंग है और ऐसी प्लानिंग भारत के अंदर बहुत ज्यादा बहुत कम जगह मिलेगी आप लोगों दूने से भी नहीं मिलेगी अब चाहतो ये ह
तो अब य देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगाड इं कैसी क रखा है इन्होंने े देख लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब ये किस तरह से बासको म बास में ये पन्नी बना रहे है ये देख लीजिए ये फेलिया,तो अब य देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगाड इं कैसी क रखा है इन्होंने े देख लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अब ये किस तरह से बासको म बास में ये पन्नी बना रहे है ये देख लीजिए ये फेलिया,तो अब ये देख रहे हो ये पन्नी है ये देख लीजिए ये चार इंची की है अब इसका जुगार्ड इन कैसी कर रखा है इन्होंने जैसे देख लजिए ये रोल है ये रोल लगा रखा है ये देख लीजिए आप ये रोल देख लीजिए किस तरह से लगा रखा है अ
कोई बास अगर वहामें नखुला आ जाता है को धार वगैरह तो उससे पपननी भी फटनगाडर रहता है तो अगर इसको पहना है तो अच्छी तरह बहनाहो आराम से  रिलेक्स हो के बनाो धीरे धीरे ह  कोई दिक्कत नहीं,कोई बास अगर वहामें नखुला आ जाता है को धार वगैरह तो उससे पपननी भी फटनगाडर रहता है तो अगर इसको पहना है तो अच्छी तरह बहनाहो आराम से  रिलेक्स हो के बनाो धीरे धीरे ह  कोई दिक्कत नहीं,कोई मास्क अगर वहामें न खुला आ जाता है को धार व गैरह तो उससे पपनी भी फटन गार्डर रहता है तो अगर इसको पहना है तो अच्छी तरह मानना हो आराम से रिलेक्स होकर बनायें धीरेधीरे या कोई दिक्कत नहीं
हाँ नॉर्मल तेरसे पांच छः सेकेंड तो वैसे लगता है हा क्योंकि कोई बास क्या होताह ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धार ज पड़ जाता है,हाँ नॉर्मल तेरसे पांच छः सेकेंड तो वैसे लगता है हा क्योंकि कोई बास क्या होताह ट्रेडर रहता है ना तो पन्नी पराते हैं तो उसका धार ज पड़ जाता है,हां नॉर्मल तेरह से पांचछह सेकेण्ड तो वैसे लगता है हा क्योंकि कोई भास क्या होता ट्रेडर रहता है न तो पन्नी पड़ाते हैं तो उसका धार जबड़ जाता है
तो जमन में जाएगा तो इसको भी इसको फॉलड कर देंगे तो ये मिट्टी बिल्कुल मिट्टी के अंदर नहें रहेगा मिट्टी मे नेरेगा तो दीमक का खतरा बिल्कुल ने रेगा बास का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैंतो मेरे राजस्थान की कहूंगा हो सकता है आपका राज्य के  अंदर भी ऐसी हालत हो किसानों की क्याकि महंगे बाव की किसान भाई बास लेके आते हैं और करीबम करीब ब बास के ऊपर एक ा दो से लेपआते हैं और बास खराब हो जाता है,तो जमन में जाएगा तो इसको भी इसको फॉलड कर देंगे तो ये मिट्टी बिल्कुल मिट्टी के अंदर नहें रहेगा मिट्टी मे नेरेगा तो दीमक का खतरा बिल्कुल ने रेगा बास का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐसी किसान मित्र है मैंतो मेरे राजस्थान की कहूंगा हो सकता है आपका राज्य के  अंदर भी ऐसी हालत हो किसानों की क्याकि महंगे बाव की किसान भाई बास लेके आते हैं और करीबम करीब ब बास के ऊपर एक ा दो से लेपआते हैं और बास खराब हो जाता है,तो जमन में जाएगा तो इसको भी इसको फॉलड कर देंगे तो ये मिट्टी बिल्कुल मिट्टी के अंदर नहीं रहेगा मिट्टी में न रहेगा तो दीमक का खतरा बिल्कुल न रहेगा बास का और बास की उम्र बढ़ जाएगी भारत के अंदर बहुत सी ऐ
जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पननी का अपन बास लगाए तो कितने सालेगा और अगर इस टकनीक से गर बास को पन काम में ले ये प्लास्टिक की जो पीवीसीथेली है ये पहना के और इस बास को काम में लेंगे तो येकितने साल चलेगा ात ये दे लीजए मेरे किसान  चार से ांच साल तक ये बासकी कैपिसिटी उम्र बढ़ जाती है,जैसे अगर नॉर्मल नॉर्मल बास को अगर बिना पननी का अपन बास लगाए तो कितने सालेगा और अगर इस टकनीक से गर बास को पन काम में ले ये प्लास्टिक की जो पीवीसीथेली है ये पहना के और इस बास को काम में लेंगे तो येकितने साल चलेगा ात ये दे लीजए मेरे किसान  चार से ांच साल तक ये बासकी कैपिसिटी उम्र बढ़ जाती है,जैसे अगर नॉर्मल नॉर्मल बाज को अगर बिना पनी का अपनी बाज लगाएं तो कितने सा लेगा और अगर इस टकनीक से इस बाज को पनी काम में ले ये प्लास्टिक की जो पीवीसी थेली है ये पहना के और इस बाज को काम में लेंगे तो ये कि
तो ये है तकनीकक्या नाम बता ने रुरासिंरगुरा सिंह जी की बहुत तकनीक है,तो ये है तकनीकक्या नाम बता ने रुरासिंरगुरा सिंह जी की बहुत तकनीक है,तो ये है तकनीक क्या नाम बताने रूरा सिंह गुरा सिंह जी की बहुत तकनीक है
कास्टराजपूतपतोराजपूतो क तनी तक एडवांस टकनीक सहै,कास्टराजपूतपतोराजपूतो क तनी तक एडवांस टकनीक सहै,कास्ट राजपूत पुत्रों और राजपूतों की तैनाती तक एडवांस टकनीक है
र येलोकी लगाओग कैन इसका वीडो,र येलोकी लगाओग कैन इसका वीडो,यह लोगी लगाओगी कैन इसका वीडियो
कम का वीडियो और बनाऊंगा आगे,कम का वीडियो और बनाऊंगा आगे,केन्द्र का वीडियो और बनायेगा आगे
और भी ये देख लीजिए बहुत तकनीक बहुत ही घसब की टकनेके लग रही है मतलब ये दस एकड़ का खेत है इनका करीबं करीबम समथिंग दस एकड़ का खेत है थोड़ा बहुत कमभी हो सकता है,और भी ये देख लीजिए बहुत तकनीक बहुत ही घसब की टकनेके लग रही है मतलब ये दस एकड़ का खेत है इनका करीबं करीबम समथिंग दस एकड़ का खेत है थोड़ा बहुत कमभी हो सकता है,और भी ये देख लीजिए बहुत तकनीक बहुत ही घटनास्थल की टकने के लग रही है मतलब ये दस एकड़ का खेत है इनका करीबनकरीबन समिटिंग दस एकड़ का खेत है थोड़ा बहुत कम भी हो सकता है
एवरेज उसे बता रहा हूँ मैं तो ये देख लीजिए बहुत ही शानदार तकनीसे यी लग रहा है मैं दूर ऐसे तो मेरी परिस्थित है मेरे गांव के पास मेंी है,एवरेज उसे बता रहा हूँ मैं तो ये देख लीजिए बहुत ही शानदार तकनीसे यी लग रहा है मैं दूर ऐसे तो मेरी परिस्थित है मेरे गांव के पास मेंी है,एवरेज उसे बता रहा हूं मैं तो ये देख लिजिए बहुत ही शानदार तकनीसे ये लग रहा है मैं दूर ऐसे तो मेरी परिस्थिति है मेरे गांव के पास है
तो बहुत ही अच्छा इनका खेत की तकनेक लगी हा आपके मन के अंदर  रै,तो बहुत ही अच्छा इनका खेत की तकनेक लगी हा आपके मन के अंदर  रै,तो बहुत ही अच्छा इनका खेत की तकनेक लगी हाथ आपके मन के अंदर है
करीब गर मैं सात फुट ये मानालो मैं छ फिट दएक ेट दो इंच कमू छः फिट एक इंच का ू में तो ये दे दीजए सात फिट का बांस ए देो सात सवासात फुट का  चाहिए इस बास की और जमीन की गर में कितना कडा ह,करीब गर मैं सात फुट ये मानालो मैं छ फिट दएक ेट दो इंच कमू छः फिट एक इंच का ू में तो ये दे दीजए सात फिट का बांस ए देो सात सवासात फुट का  चाहिए इस बास की और जमीन की गर में कितना कडा ह,करीब गर में सात फुट ये मानालोह में छः फुट दे एक छेट दो इंच कुम्भ छः फुट एक इंच का भू में तो ये दे दी जाए सात फुट का बांस एक दो सौ सत्तासी फुट का चाहिए इस बार की और जमीन की गर में कितना कड़ा है
तीन फिट तेइम पीड आ जमीनकी गैराय के अंदर है मतलब टोटल बास हो गया ये दस फु का बास हो गया  ये देख लीजिए आप ये ै दस फुट का बासखड़ा ो रे वा,तीन फिट तेइम पीड आ जमीनकी गैराय के अंदर है मतलब टोटल बास हो गया ये दस फु का बास हो गया  ये देख लीजिए आप ये ै दस फुट का बासखड़ा ो रे वा,तीन फीट तेईम पीड आज जमीन की गैराई के अंदर है मतलब टोटल बास हो गया ये दस फुट का बास हो गया ये देश फुट का बास हो गया ये देख लीजिए आप ये एक दस फुट का बास खड़ा हो रेवा
के देखो,के देखो,देखो
ये दस फुट का बास हो गया ये देख,ये दस फुट का बास हो गया ये देख,ये दस फुट का बास हो गया ये देख
