filename,ground_truth,IC,wav2vec2,Ourmodel
0520112024_0002_chunk_001,मात्र पचास हजार रुपए में शोरूम से घर लाइए एक सौ चालीस किलोमीटर की रेंज वाली ये इलेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रूपए में शोरूम ऐसी घर लाय एक सौ चालीस किलोमीटर की रेंज वाली य इलेक्ट्रिक स्कूटर जनीफीच,मात्र पचास हजार रुपये में शोरूम से घर लाही क्स किलोमीटर की रेंज वाली यह लेक्ट्रिक स्कूटर जाने फीचर्स,मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस
0520112024_0002_chunk_005,इसी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटर को कंपनी ने मार्केट में,ैइस ी स्कूटर को कंपनी ने मार्केट में,इसी स्कूटो को कंपनी ने मार्केट में
0520112024_0002_chunk_006,बावन हजार नौ सौ रुपए एक्स शोरूम की शुरूवाती कीमत से लेकर,बावन हजार नौ सौ रूपए एक्स शोरूम की शुरुआती कीमत से लेकर,सौ रुपे एक्स शुरूम की शुरुआती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर
0520112024_0002_chunk_007,चौरानवे हजार नौ सौ रुपए एक्स के साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपयेक्स के साथ लांच किया है,स रुपए के साथ लॉन्च किया हा,चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है
0520112024_0002_chunk_009,खरीद सकते हैं,खरीद सकते,ी खरीद सकते हैं,खरीद सकते हैं
0520112024_0002_chunk_011,मोटर से लेस किया गया है,मोटर से लैस किया गया है,मोट र से लेस किया गया है,मोटर से लेस किया गया है
0520112024_0002_chunk_012,बैटरी तीन साल की और मोटर दो साल की वारंटी के साथ आती हैं,बैटरी तीन साल की और मोटर दो साल की वार्टी के साथ आती है,बेटरी तीन साल की और मोटर दो साल की वारटी के साथ आती है,बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है
0520112024_0002_chunk_013,रही बात रेंज को तो कंपनी के अनुसार इसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर,रही बात रेंज को तो कंपनी ने अनुसार इसऐसे सिंगल चार्ज में आसानी सेसी साथ किलोमीटर ऐसी लेकर एक सौ चालीस किलोमीटर,रही बात रेंज को तो कंपनी ने अनुसार ऐसे सिंगल चार्ज में आसानी से किलोमीटर से लेकर किलोमीटर,रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी
0520112024_0002_chunk_014,तक चला सकते हैं,तक चला सकते हैं,र थक चला सकती हैं,तक चला सकती हैं
0520112024_0002_chunk_015,फीचर्स भी जबरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीड़ों मीटर डजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,फ़ीचर्स भी ज़बरदस्त वहीं फ़ीचर्स की बात करें तो इसमें डिजिटल स्पीडोमीटर डिजिटल स्पीड मीटर रिमोट की चाइल्ड लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबरदस्त वहीं फीच्स की बात करें तो इसमें डिजिटल स्पीडोमीटर डिजिटल स्पी मीटर रिमोट की चाइलडलॉक आरामदायक सीट साधनकंसोर,फीचर्स भी जबर्दस्त वहीं फीचर्  की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल
0520112024_0002_chunk_016,एंटी थेफ्ट अलार्म यूएसबी चार्जिंग पोर्ट क्रूस कंट्रोल लो बैटरी अलर्ट सिस्टम एलइडी हेडलाइट्स पीछे की तरफ बल्ब दिया गया है,एंटीथेफ्टल्म यू एसमी चार्जिंग पोर्ट क्रूस कंट्रोल लोमेटरी अलट सिस्टम एल इ डी हेडलाइट्स पीछे की तरफ़ बल दिया गया है,एनटीथ्रीफ लाग यूएसपी जार्जिंग पोर्ट क्रूस कंट्रोल लोबेटरी लट सिस्टम एलईडी हेडलाइट्स पीछे की तरफ बंद दिया गया है,एनटीथरीफ टलाम यूएसपी चार्जिंग पोर्ट क्रूस कंट्रोल लू मेटरी अलक सिस्टम एलईडी हेडलाइफ्स पीछे की तरफ बन दिया गया है
0520112024_0002_chunk_019,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड क्लीयरेंस एक सौ पैंसठ मिलीमीटर के अलावा स्कूटर की वजन पचहत्तर किलोग्राम है,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड क्लीयरेंस एक सौ पैंसठ मिलीमीटर के अलावा स्कूटर की वजन पचहत्तर किलोग्राम है,मिलीमीटर और ग्राउंड कियरिन स मिलीमीटर के अलावा स्कूटर की वसं किलोग्राम है,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड केयर इस एक सौ पैंसठ मिलीमीटर के अलावा स्कूट की वजन पचहत्तर किलोग्राम है
0520112024_0002_chunk_020,वहीं आगे और पीछे की ओर हाइड्रोलिक वही बेहतर ब्रेकिंग सिस्टम की लिहाज से डिस्क ब्रेक दिया गया है,वहीं आगे और पीछे की ओर हाइड्रोलिक वहीं बेहतर ब्रेकिंग सिस्टम के लिहाज से डिस्क ब्रेक दिया गया है,वहीं आगे और पीछे की ओर हाइड्रोलिक वही बेहतर ब्रेकिंग सिस्टम के लिहाज से डिस्कब्रेक दिया गया है,वहीं आगे और पीछे की ओर हाइड्रोनिक वही बेहतर ब्रेकिंग सिस्टम के लिए हाद से डिस्कप्रेक दिया गया है
0520112024_0002_chunk_022,आप बावन हजार नौ सौ रुपए एक्स शोरूम की शुरुवाती कीमत से लेकर,अ बावन हजार नौ सौ रूपये एक्स शोरूम की शुरुआती कीमत से लेकर,सौ रुपे एक्स शूरूम की शुरुआती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स शोरन की शुरूआती कीमत से लेकर
0520112024_0002_chunk_026,हालांकि इस फाइनेंस प्लान के बारे में अधिक जानकारी आपको बाइक देखो कि वेबसाइट पर मिल जाएगी विडियो को लाइक करें,हालाँकि इस फाइनेंस प्लान के बारे में अधिक जानकारी आपको बाइक देखो की वेबसाइट पर मिल जाएगी विडियो को लाइक करें,हालांकि इस फाइनेंस प्लान के बारे में अधिक जानकारी आपको बाइक देखों कि वेबसाइट पर मिल जाएगी मीदिया को लाइक करें,हालांकि इस फाइनल्स प्लान के बारे में अधिक जानकारी आपको बाइट देखो गी वेबसाइट पर मिल जाएगी मीडिया को लाइक करें
0520112024_0002_chunk_027,कमेंट करें शेयर करें और सब्सक्राइब जरूर करें,कमेंट करें शेयर करें और सब्सक्राइब जरूर करें,कमेंट करें शेयर करें और सब्सक्राइब जरूर करें,कमेंट करे शेयर करें और सब्स्क्राइब जरूर करें
0520112024_0003_chunk_001,नमस्कार आशा करते हैं कि आप सब लोग ही लैम्प बना रहे होंगे और जैसे जैसे दिवाली पास आ रही है आपका,नमस्कार आशा करते है की आप सब लोग यहे लैब बना रहे होंगे और जैसे जैसे दिवाली पास आ रही है आपका,नमस्कार आशा करते है कि आप सब लोग ही लैम बना रहे होंगे और जैसे सैसितिवाली पास आिए आपका,नमस्कार आशा करते हैं कि आप सब लोग ही लैम बना रहे होंगे और जैसे जैसे दिवाली पास आरी आा
0520112024_0003_chunk_004,डिस्क्रिप्शन बॉक्स में जो लिंक दिया है वहां से इसकी़ पीडीएफ को डाउनलोड कर लें और उसकी दस कॉपी निकाल ले,डेस्क्रिप्शन बॉक्स में जो लिंक दिया है वहां से इसकी मी डीएफ को डाउनलोड कर लें और उसकी दस कॉपी निकाल लें,डिस्क्रिप्शन बॉक्स में जो लिंक दिया है भहांसिस के मीडियफ को डाउनलोड कर लें और उसकी दस कॉपी निकाले,डिस्क्रिप्शन बॉक्स में जो लिंक दिया है वहां से इसके मीडिएफ को डाउनलोड कर लें और उसकी दस कोपी निकाल
0520112024_0003_chunk_006,तों ये बहुत ही खूबसूरत लैम्प बनके तैयार हो गया है और जितना सुंदर ये लैम्प है उतनी सुंदर इसके पीछे की गणित,तो ये बहुत ही खूबसूरत लैंप बनके तैयार हो गया है और जितना सुन्दर ये लैंप है उतनी सुन्दर इसके पीछे की गणित,टोनते बहुत ही खूबसूरत लैमबनके पैयार हो गय ै और जितना सुंदर ही लाइव है उतनी संबरइस के पीछे की गड़ीमै,ोय बहुत ही खूबसूरत लगबरके तैयार हो गया ै और जइता सबरी लाइ पछकी
0520112024_0003_chunk_007,तों ये लैम्प बीस टाइमलर फेसेस से मिलके बना हुआ है और इसे आइकोसा हेडरन भी हम इसी लिए बोलते हैं क्योंकि आइकोसा,तो ये लैब बीस ट्राइमुलर फेसेज ऐसी मिलके बना हुआ है और इसको आइकोसा हाइड्रन भी हम इसीलिए बोलते है क्यूँकी आइकोसा,मिलायर बीस टाइगलर फेसिज से मिलकर बना हुआ है औरिसको आइकोसा हेड्रन भी हम इसीलिए बोलते हैं क्योंकि आइकोसा,लैबीस टाइमिलर फेसेस से मिल के बना हुआ है और इसको आइकोसा एडरम भी हम इसीलिए बोलते हैं क्योंकि आइकोस
0520112024_0003_chunk_008,मतलब बीस और हेडरन मतलब फेसेस और इसके हर वरटैक्स पे पांच इक्वीलेटर ट्राइंगल आ कर मिल रहे है और इसे पहले हमने,मतलब बीस और हाइड्रन मतलब फेसिस और इसके हर वर्टेक्स पे पांच इकुलेटेड ट्रइंगल आके मिल रहे है और इससे पहले हमने,ा मतलब भीस और हेड्रेन मतलब फेसिस और इसके हर वटेक्सपिक पांच इक्वलेटे राइंगलाकी मिलतर हैं और इसे पहले हमने,मतलब बीस और हाइड्रा मतलब थ्रीसि्सुलिस के हर वटएक्सपर पांच इक्वुलेटेड ड्राइंगिलाकि मिल टराऔर इससे पहले हमने
0520112024_0003_chunk_010,और जो ऑप्टा हेडरन बनाया था उसके हर वरटैक्स पे चार इक्विलेटर ट्राइगल्स आकर मिल रहे थे और आज जो आइकोसा बनाया है उसके हर वरटैक्स,और जो ओऑप्टा हइड्रन बनाया था उसके हरवर टैक्स पे चार इकुलेटर ट्रंगल्स आके मिल रहे थे और आज जो इइकोसा बनाया है उसके हर वर टैक्स पे,जो ओफटा हेडरन बनाया था उसकी हर बर टैक्स पे चार इक्वुलेटे ट्राइनरसा की मृत्य यु थे और आज जो आइकोसा बना है उसके हरवर टैक्स,और जो और ाएाबनाए था उसकी हरवरटैक्स पे चार इक्वुलेटे ट्राइमसाकेऔर आ जो आइकोसा बनाा है उसकी हरवर टैक्स
0520112024_0003_chunk_013,ये जो एंगल है वो सिक्स्टी डिग्री का है और अगर सिक्स टाइम सिक्सटी करेंगे तो थ्री सिक्स्टी होगा तो ये,ये जो एंगल है वो सिक्स्टी डिग्री का है और अगर सिक्स टाइम स्टी करेंगे तो थ्री सिक्स्टी होगा तो,ये जो एंगल है वो सिक्स्टी डिग्री का है और अगर सिक्सटाइम सिकसटी करेंगे तो थ्री सिक्स्टी होगा तो े,ये जो एंगल है वो सिक्सटी डिग्री का है और अगर सिक्सटाइम सिक्सटी करेंगे तो थ्री सिक्सटी होगा तोये
0520112024_0003_chunk_015,ये बाहर आइकोसा है और इसके हमने फेसेस की मिड पवॉइंट्स को मिला दिया तो इसके अंदर बैठा है डोडे का तो,ये बाहर आइकोसा है और इसके हमने फेसस के मिड पॉइंट को मिला दिया तो इसके अन्दर बैठा है डोडे का तो,ये बाहर आइकोसा है और इसकिए हमने फेसिस की मिड पॉइंट्स को मिला दिया तो इसके अंदर बैठा है डोले का तो,ये बाहर माइकोसा है और इसके हमने फेसेस के मिड पॉइंट्स को मिला दिया तो इसके अंदर बैठा है डोडे का तो
0520112024_0003_chunk_016,इनको हम ड्यूअल स्ट्रक्चर कहते है जो हमने पिछले एपिसोड्स में भी बात करी थी एक और काफी मजेदार बात ये है,इनको हम डोल स्ट्रक्चर कहते हैं जो हमने पिछले एपिसोड्स में भी बात करी थी एक और काफी मजेदार बात ये है,इनको हम डुर स्ट्रक्चर कहते हैं जो हमने पिछले एपिसोड्स में भी बात कएक ओर काफी मजेनार बाति है,इनको हम डो स्ट्रक्चर करते है जो हमने पिछे आतेसोटे की बात कएक ओर काफी मजेदार बात  ै
