Ourmodel,Hypothesis,Predictions
मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,मात्र पचास हजार रुपये में शुरू से घर लाी एक सौ चालीस किलोमीटर की रेंज वाली य लेकटक सकूटजाने फीचरस,मात्र पचास हजार रूपये में शुरू से घर लाई एक सौ चालीस किलोमीटर की रेंज वाली यह लेफ्टिनेंट फीचर्स है
इसी स्कूटो को कंपनी ने मार्केट में,इसी स्कूटो को कंपनी ने मार्केट में,इसी स्कूटों को कंपनी ने मार्केट में
बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,बावन हजार नौ सौ रुपये एक्स शोरूम की शुरूआती कीमत से लेकर,बावन हज़ार नौ सौ रुपए एक्‍स शोरूम की शुरुआती कीमत से लेकर
चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपएेके साथ लॉन्च किया है,चौरानवे हजार नौ सौ रुपये के साथ लॉन्च किया है
खरीद सकते हैं,खरीद सकते हैं,ख़रीद सकते हैं
मोटर से लेस किया गया है,मोटर से लेस किया गया है,मोटर से लेस किया गया है
बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,बेटरी तीन साल की और मोटर दो साल की बारटी के साथ आती है,बैटरी तीन साल की और मोटर दो साल की बैटरी के साथ आती है
रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,रही बात रेंज को तो कंपनी ने अदुसार एसे सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमी,रहिबाग रेंज पूत कंपनी के अनुसार एसएस सिंगल चार्ज में आसानी से साठ किलोमीटर से लेकर एक सौ चालीस किलोमीटर तक पहुंचा
तक चला सकती हैं,तक चला सकती हैं,तक चला सकती हैं
फीचर्स भी जबर्दस्त वहीं फीचर्  की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी जबर्दस्त वहीं फीचर्  की बात करें तो इसमें डिजिटल स्पीडो मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल,फीचर्स भी ज़बरदस्त वहीं फीचर्स की बात करें तो इसमें डिजिटल स्पीडों मीटर डिजिटल स्पीड मीटर रिमोट की चाइल लॉक आरामदायक सीट साधन कंसोल
एनटीथरीफ टलाम यूएसपी चार्जिंग पोर्ट क्रूस कंट्रोल लू मेटरी अलक सिस्टम एलईडी हेडलाइफ्स पीछे की तरफ बन दिया गया है,एनटीथरीफ टलाम यूएसपी चार्जिंग पोर्ट क्रूस कंट्रोल लू मेटरी अलक सिस्टम एलईडी हेडलाइफ्स पीछे की तरफ बन दिया गया है,एनटी30 टनल यूएसपी चार्जिंग पोर्ट क्रूज कंट्रोल लू मैट्रिक अलग सिस्टम एलईडी हेडलाइफ्स पीछे की तरफ बंद किया गया है
एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड केयर इस एक सौ पैंसठ मिलीमीटर के अलावा स्कूट की वजन पचहत्तर किलोग्राम है,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड केयर इस एक सौ पैंसठ मिलीमीटर के अलावा स्कूट की वजन पचहत्तर किलोग्राम है,एक हजार एक सौ पैंसठ मिलीमीटर और ग्राउंड केयर इस एक सौ पैंसठ मिलीमीटर के अलावा इस कूट की वजन पचहत्तर किलोग्राम है
